Log Data for Client IPAddres: 127.0.1.1 Pid: 28197
"

Testing Data for Client IPAddres: 127.0.1.1 Pid: 28197 .."
Rew: ,8.0,Train_count: ,0,Update_count: ,0
Rew: ,10.0,Train_count: ,7,Update_count: ,1
Rew: ,10.0,Train_count: ,17,Update_count: ,4
Rew: ,8.0,Train_count: ,27,Update_count: ,6
Rew: ,10.0,Train_count: ,37,Update_count: ,9
Rew: ,9.0,Train_count: ,47,Update_count: ,11
Rew: ,10.0,Train_count: ,57,Update_count: ,14
Rew: ,20.0,Train_count: ,67,Update_count: ,16
Rew: ,13.0,Train_count: ,77,Update_count: ,19
Rew: ,18.0,Train_count: ,87,Update_count: ,21
Rew: ,26.0,Train_count: ,97,Update_count: ,24
Rew: ,93.0,Train_count: ,107,Update_count: ,26
Rew: ,32.0,Train_count: ,117,Update_count: ,29
Rew: ,26.0,Train_count: ,127,Update_count: ,31
Rew: ,45.0,Train_count: ,137,Update_count: ,34
Rew: ,71.0,Train_count: ,147,Update_count: ,36
Rew: ,19.0,Train_count: ,157,Update_count: ,39
Rew: ,25.0,Train_count: ,167,Update_count: ,41
Rew: ,30.0,Train_count: ,177,Update_count: ,44
Rew: ,42.0,Train_count: ,187,Update_count: ,46
Rew: ,40.0,Train_count: ,197,Update_count: ,49
Rew: ,124.0,Train_count: ,207,Update_count: ,51
Rew: ,30.0,Train_count: ,217,Update_count: ,54
Rew: ,42.0,Train_count: ,227,Update_count: ,56
Rew: ,54.0,Train_count: ,237,Update_count: ,59
Rew: ,53.0,Train_count: ,247,Update_count: ,61
Rew: ,35.0,Train_count: ,257,Update_count: ,64
Rew: ,66.0,Train_count: ,267,Update_count: ,66
Rew: ,44.0,Train_count: ,277,Update_count: ,69
Rew: ,37.0,Train_count: ,287,Update_count: ,71
Rew: ,62.0,Train_count: ,297,Update_count: ,74
Rew: ,106.0,Train_count: ,307,Update_count: ,76
Rew: ,35.0,Train_count: ,317,Update_count: ,79
Rew: ,49.0,Train_count: ,327,Update_count: ,81
Rew: ,54.0,Train_count: ,337,Update_count: ,84
Rew: ,59.0,Train_count: ,347,Update_count: ,86
Rew: ,43.0,Train_count: ,357,Update_count: ,89
Rew: ,40.0,Train_count: ,367,Update_count: ,91
Rew: ,40.0,Train_count: ,377,Update_count: ,94
Rew: ,94.0,Train_count: ,387,Update_count: ,96
Rew: ,61.0,Train_count: ,397,Update_count: ,99
Rew: ,66.0,Train_count: ,407,Update_count: ,101
Rew: ,60.0,Train_count: ,417,Update_count: ,104
Rew: ,41.0,Train_count: ,427,Update_count: ,106
Rew: ,107.0,Train_count: ,437,Update_count: ,109
Rew: ,81.0,Train_count: ,447,Update_count: ,111
Rew: ,95.0,Train_count: ,457,Update_count: ,114
Rew: ,122.0,Train_count: ,467,Update_count: ,116
Rew: ,61.0,Train_count: ,477,Update_count: ,119
Rew: ,63.0,Train_count: ,487,Update_count: ,121
Rew: ,85.0,Train_count: ,497,Update_count: ,124
Rew: ,83.0,Train_count: ,507,Update_count: ,126
Rew: ,38.0,Train_count: ,517,Update_count: ,129
Rew: ,57.0,Train_count: ,527,Update_count: ,131
