Log Data for Client IPAddres: 127.0.1.1 Pid: 28197
"

Testing Data for Client IPAddres: 127.0.1.1 Pid: 28197 .."
Rew: ,200.0,Train_count: ,537,Update_count: ,134
Rew: ,126.0,Train_count: ,547,Update_count: ,136
Rew: ,92.0,Train_count: ,557,Update_count: ,139
Rew: ,200.0,Train_count: ,567,Update_count: ,141
Rew: ,200.0,Train_count: ,577,Update_count: ,144
Rew: ,94.0,Train_count: ,587,Update_count: ,146
Rew: ,119.0,Train_count: ,597,Update_count: ,149
Rew: ,185.0,Train_count: ,607,Update_count: ,151
Rew: ,149.0,Train_count: ,617,Update_count: ,154
Rew: ,200.0,Train_count: ,627,Update_count: ,156
Rew: ,94.0,Train_count: ,637,Update_count: ,159
Rew: ,200.0,Train_count: ,647,Update_count: ,161
Rew: ,126.0,Train_count: ,657,Update_count: ,164
Rew: ,119.0,Train_count: ,667,Update_count: ,166
Rew: ,173.0,Train_count: ,677,Update_count: ,169
Rew: ,180.0,Train_count: ,687,Update_count: ,171
Rew: ,200.0,Train_count: ,697,Update_count: ,174
Rew: ,122.0,Train_count: ,707,Update_count: ,176
Rew: ,100.0,Train_count: ,717,Update_count: ,179
Rew: ,200.0,Train_count: ,727,Update_count: ,181
Rew: ,174.0,Train_count: ,737,Update_count: ,184
Rew: ,200.0,Train_count: ,747,Update_count: ,186
Rew: ,172.0,Train_count: ,757,Update_count: ,189
Rew: ,200.0,Train_count: ,767,Update_count: ,191
Rew: ,105.0,Train_count: ,777,Update_count: ,194
Rew: ,200.0,Train_count: ,787,Update_count: ,196
Rew: ,200.0,Train_count: ,797,Update_count: ,199
Rew: ,200.0,Train_count: ,807,Update_count: ,201
Rew: ,200.0,Train_count: ,817,Update_count: ,204
Rew: ,200.0,Train_count: ,827,Update_count: ,206
Rew: ,123.0,Train_count: ,837,Update_count: ,209
Rew: ,200.0,Train_count: ,847,Update_count: ,211
Rew: ,200.0,Train_count: ,857,Update_count: ,214
Rew: ,178.0,Train_count: ,867,Update_count: ,216
Rew: ,200.0,Train_count: ,877,Update_count: ,219
Rew: ,143.0,Train_count: ,887,Update_count: ,221
Rew: ,200.0,Train_count: ,897,Update_count: ,224
Rew: ,200.0,Train_count: ,907,Update_count: ,226
Rew: ,200.0,Train_count: ,917,Update_count: ,229
Rew: ,200.0,Train_count: ,927,Update_count: ,231
Rew: ,200.0,Train_count: ,937,Update_count: ,234
Rew: ,200.0,Train_count: ,947,Update_count: ,236
Rew: ,174.0,Train_count: ,957,Update_count: ,239
Rew: ,200.0,Train_count: ,967,Update_count: ,241
Rew: ,200.0,Train_count: ,977,Update_count: ,244
Rew: ,200.0,Train_count: ,987,Update_count: ,246
Rew: ,200.0,Train_count: ,997,Update_count: ,249
Rew: ,200.0,Train_count: ,1007,Update_count: ,251
Rew: ,153.0,Train_count: ,1017,Update_count: ,254
Rew: ,200.0,Train_count: ,1027,Update_count: ,256
Rew: ,200.0,Train_count: ,1037,Update_count: ,259
Rew: ,200.0,Train_count: ,1047,Update_count: ,261
Rew: ,200.0,Train_count: ,1057,Update_count: ,264
Rew: ,199.0,Train_count: ,1067,Update_count: ,266
Rew: ,156.0,Train_count: ,1077,Update_count: ,269
Rew: ,200.0,Train_count: ,1087,Update_count: ,271
Rew: ,200.0,Train_count: ,1097,Update_count: ,274
Rew: ,200.0,Train_count: ,1107,Update_count: ,276
Rew: ,200.0,Train_count: ,1117,Update_count: ,279
Rew: ,197.0,Train_count: ,1127,Update_count: ,281
Rew: ,200.0,Train_count: ,1137,Update_count: ,284
Rew: ,200.0,Train_count: ,1147,Update_count: ,286
Rew: ,200.0,Train_count: ,1157,Update_count: ,289
Rew: ,200.0,Train_count: ,1167,Update_count: ,291
Rew: ,200.0,Train_count: ,1177,Update_count: ,294
Rew: ,200.0,Train_count: ,1187,Update_count: ,296
Rew: ,200.0,Train_count: ,1197,Update_count: ,299
Rew: ,200.0,Train_count: ,1207,Update_count: ,301
Rew: ,200.0,Train_count: ,1217,Update_count: ,304
Rew: ,200.0,Train_count: ,1227,Update_count: ,306
Rew: ,200.0,Train_count: ,1237,Update_count: ,309
Rew: ,200.0,Train_count: ,1247,Update_count: ,311
Rew: ,200.0,Train_count: ,1257,Update_count: ,314
Rew: ,200.0,Train_count: ,1267,Update_count: ,316
Rew: ,200.0,Train_count: ,1277,Update_count: ,319
Rew: ,200.0,Train_count: ,1287,Update_count: ,321
Rew: ,200.0,Train_count: ,1297,Update_count: ,324
Rew: ,200.0,Train_count: ,1307,Update_count: ,326
Rew: ,200.0,Train_count: ,1317,Update_count: ,329
Rew: ,200.0,Train_count: ,1327,Update_count: ,331
Rew: ,200.0,Train_count: ,1337,Update_count: ,334
Rew: ,200.0,Train_count: ,1347,Update_count: ,336
Rew: ,200.0,Train_count: ,1357,Update_count: ,339
Rew: ,200.0,Train_count: ,1367,Update_count: ,341
Rew: ,200.0,Train_count: ,1377,Update_count: ,344
Rew: ,200.0,Train_count: ,1387,Update_count: ,346
Rew: ,200.0,Train_count: ,1397,Update_count: ,349
Rew: ,200.0,Train_count: ,1407,Update_count: ,351
Rew: ,200.0,Train_count: ,1417,Update_count: ,354
Rew: ,200.0,Train_count: ,1427,Update_count: ,356
Rew: ,200.0,Train_count: ,1437,Update_count: ,359
Rew: ,200.0,Train_count: ,1447,Update_count: ,361
Rew: ,200.0,Train_count: ,1457,Update_count: ,364
Rew: ,200.0,Train_count: ,1467,Update_count: ,366
Rew: ,200.0,Train_count: ,1477,Update_count: ,369
Rew: ,178.0,Train_count: ,1487,Update_count: ,371
Rew: ,200.0,Train_count: ,1497,Update_count: ,374
Rew: ,200.0,Train_count: ,1507,Update_count: ,376
Rew: ,200.0,Train_count: ,1517,Update_count: ,379
Rew: ,200.0,Train_count: ,1527,Update_count: ,381
Rew: ,200.0,Train_count: ,1537,Update_count: ,384
Rew: ,200.0,Train_count: ,1547,Update_count: ,386
Rew: ,200.0,Train_count: ,1557,Update_count: ,389
Rew: ,200.0,Train_count: ,1567,Update_count: ,391
Rew: ,200.0,Train_count: ,1577,Update_count: ,394
Rew: ,191.0,Train_count: ,1587,Update_count: ,396
Rew: ,200.0,Train_count: ,1597,Update_count: ,399
Rew: ,200.0,Train_count: ,1607,Update_count: ,401
Rew: ,192.0,Train_count: ,1617,Update_count: ,404
Rew: ,200.0,Train_count: ,1627,Update_count: ,406
Rew: ,200.0,Train_count: ,1637,Update_count: ,409
Rew: ,200.0,Train_count: ,1647,Update_count: ,411
Rew: ,200.0,Train_count: ,1657,Update_count: ,414
Rew: ,200.0,Train_count: ,1667,Update_count: ,416
Rew: ,200.0,Train_count: ,1677,Update_count: ,419
Rew: ,195.0,Train_count: ,1687,Update_count: ,421
Rew: ,200.0,Train_count: ,1697,Update_count: ,424
Rew: ,200.0,Train_count: ,1707,Update_count: ,426
Rew: ,200.0,Train_count: ,1717,Update_count: ,429
