Log Data for Client IPAddres: 127.0.1.1 Pid: 10820
"

Testing Data for Client IPAddres: 127.0.1.1 Pid: 10820 .."
Rew: ,9.0,Train_count: ,0,Update_count: ,0
Rew: ,10.0,Train_count: ,7,Update_count: ,1
Rew: ,9.0,Train_count: ,17,Update_count: ,4
Rew: ,10.0,Train_count: ,27,Update_count: ,6
Rew: ,10.0,Train_count: ,37,Update_count: ,9
Rew: ,10.0,Train_count: ,47,Update_count: ,11
Rew: ,10.0,Train_count: ,57,Update_count: ,14
Rew: ,9.0,Train_count: ,67,Update_count: ,16
Rew: ,8.0,Train_count: ,77,Update_count: ,19
Rew: ,16.0,Train_count: ,87,Update_count: ,21
Rew: ,24.0,Train_count: ,97,Update_count: ,24
Rew: ,40.0,Train_count: ,107,Update_count: ,26
Rew: ,27.0,Train_count: ,117,Update_count: ,29
Rew: ,12.0,Train_count: ,127,Update_count: ,31
Rew: ,24.0,Train_count: ,137,Update_count: ,34
Rew: ,82.0,Train_count: ,147,Update_count: ,36
Rew: ,159.0,Train_count: ,157,Update_count: ,39
Rew: ,40.0,Train_count: ,167,Update_count: ,41
Rew: ,84.0,Train_count: ,177,Update_count: ,44
Rew: ,72.0,Train_count: ,187,Update_count: ,46
Rew: ,80.0,Train_count: ,197,Update_count: ,49
Rew: ,161.0,Train_count: ,207,Update_count: ,51
Rew: ,52.0,Train_count: ,217,Update_count: ,54
Rew: ,36.0,Train_count: ,227,Update_count: ,56
Rew: ,147.0,Train_count: ,237,Update_count: ,59
Rew: ,109.0,Train_count: ,247,Update_count: ,61
Rew: ,45.0,Train_count: ,257,Update_count: ,64
Rew: ,60.0,Train_count: ,267,Update_count: ,66
Rew: ,81.0,Train_count: ,277,Update_count: ,69
Rew: ,200.0,Train_count: ,287,Update_count: ,71
Rew: ,122.0,Train_count: ,297,Update_count: ,74
Rew: ,43.0,Train_count: ,307,Update_count: ,76
Rew: ,103.0,Train_count: ,317,Update_count: ,79
Rew: ,113.0,Train_count: ,327,Update_count: ,81
Rew: ,72.0,Train_count: ,337,Update_count: ,84
Rew: ,141.0,Train_count: ,347,Update_count: ,86
Rew: ,28.0,Train_count: ,357,Update_count: ,89
Rew: ,75.0,Train_count: ,367,Update_count: ,91
Rew: ,86.0,Train_count: ,377,Update_count: ,94
Rew: ,47.0,Train_count: ,387,Update_count: ,96
Rew: ,178.0,Train_count: ,397,Update_count: ,99
Rew: ,127.0,Train_count: ,407,Update_count: ,101
Rew: ,74.0,Train_count: ,417,Update_count: ,104
Rew: ,151.0,Train_count: ,427,Update_count: ,106
Rew: ,51.0,Train_count: ,437,Update_count: ,109
Rew: ,200.0,Train_count: ,447,Update_count: ,111
Rew: ,68.0,Train_count: ,457,Update_count: ,114
Rew: ,116.0,Train_count: ,467,Update_count: ,116
Rew: ,114.0,Train_count: ,477,Update_count: ,119
Rew: ,80.0,Train_count: ,487,Update_count: ,121
Rew: ,166.0,Train_count: ,497,Update_count: ,124
Rew: ,200.0,Train_count: ,507,Update_count: ,126
Rew: ,200.0,Train_count: ,517,Update_count: ,129
Rew: ,200.0,Train_count: ,527,Update_count: ,131
Rew: ,147.0,Train_count: ,537,Update_count: ,134
Rew: ,200.0,Train_count: ,547,Update_count: ,136
Rew: ,180.0,Train_count: ,557,Update_count: ,139
Rew: ,166.0,Train_count: ,567,Update_count: ,141
Rew: ,91.0,Train_count: ,577,Update_count: ,144
Rew: ,127.0,Train_count: ,587,Update_count: ,146
Rew: ,200.0,Train_count: ,597,Update_count: ,149
Rew: ,101.0,Train_count: ,607,Update_count: ,151
Rew: ,64.0,Train_count: ,617,Update_count: ,154
Rew: ,90.0,Train_count: ,627,Update_count: ,156
Rew: ,81.0,Train_count: ,637,Update_count: ,159
Rew: ,200.0,Train_count: ,647,Update_count: ,161
Rew: ,160.0,Train_count: ,657,Update_count: ,164
Rew: ,63.0,Train_count: ,667,Update_count: ,166
Rew: ,172.0,Train_count: ,677,Update_count: ,169
Rew: ,52.0,Train_count: ,687,Update_count: ,171
Rew: ,96.0,Train_count: ,697,Update_count: ,174
Rew: ,106.0,Train_count: ,707,Update_count: ,176
Rew: ,121.0,Train_count: ,717,Update_count: ,179
Rew: ,71.0,Train_count: ,727,Update_count: ,181
Rew: ,164.0,Train_count: ,737,Update_count: ,184
Rew: ,75.0,Train_count: ,747,Update_count: ,186
Rew: ,144.0,Train_count: ,757,Update_count: ,189
Rew: ,119.0,Train_count: ,767,Update_count: ,191
Rew: ,86.0,Train_count: ,777,Update_count: ,194
Rew: ,137.0,Train_count: ,787,Update_count: ,196
Rew: ,104.0,Train_count: ,797,Update_count: ,199
Rew: ,66.0,Train_count: ,807,Update_count: ,201
Rew: ,48.0,Train_count: ,817,Update_count: ,204
Rew: ,70.0,Train_count: ,827,Update_count: ,206
Rew: ,104.0,Train_count: ,837,Update_count: ,209
Rew: ,92.0,Train_count: ,847,Update_count: ,211
Rew: ,175.0,Train_count: ,857,Update_count: ,214
Rew: ,200.0,Train_count: ,867,Update_count: ,216
Rew: ,200.0,Train_count: ,877,Update_count: ,219
Rew: ,49.0,Train_count: ,887,Update_count: ,221
Rew: ,200.0,Train_count: ,897,Update_count: ,224
Rew: ,137.0,Train_count: ,907,Update_count: ,226
Rew: ,191.0,Train_count: ,917,Update_count: ,229
Rew: ,100.0,Train_count: ,927,Update_count: ,231
Rew: ,113.0,Train_count: ,937,Update_count: ,234
Rew: ,200.0,Train_count: ,947,Update_count: ,236
Rew: ,104.0,Train_count: ,957,Update_count: ,239
Rew: ,91.0,Train_count: ,967,Update_count: ,241
Rew: ,133.0,Train_count: ,977,Update_count: ,244
Rew: ,125.0,Train_count: ,987,Update_count: ,246
Rew: ,200.0,Train_count: ,997,Update_count: ,249
Rew: ,138.0,Train_count: ,1007,Update_count: ,251
Rew: ,200.0,Train_count: ,1017,Update_count: ,254
Rew: ,47.0,Train_count: ,1027,Update_count: ,256
Rew: ,64.0,Train_count: ,1037,Update_count: ,259
Rew: ,121.0,Train_count: ,1047,Update_count: ,261
Rew: ,139.0,Train_count: ,1057,Update_count: ,264
Rew: ,151.0,Train_count: ,1067,Update_count: ,266
Rew: ,158.0,Train_count: ,1077,Update_count: ,269
Rew: ,131.0,Train_count: ,1087,Update_count: ,271
Rew: ,97.0,Train_count: ,1097,Update_count: ,274
Rew: ,200.0,Train_count: ,1107,Update_count: ,276
Rew: ,128.0,Train_count: ,1117,Update_count: ,279
Rew: ,77.0,Train_count: ,1127,Update_count: ,281
Rew: ,137.0,Train_count: ,1137,Update_count: ,284
Rew: ,156.0,Train_count: ,1147,Update_count: ,286
Rew: ,200.0,Train_count: ,1157,Update_count: ,289
Rew: ,123.0,Train_count: ,1167,Update_count: ,291
Rew: ,192.0,Train_count: ,1177,Update_count: ,294
Rew: ,124.0,Train_count: ,1187,Update_count: ,296
Rew: ,137.0,Train_count: ,1197,Update_count: ,299
Rew: ,116.0,Train_count: ,1207,Update_count: ,301
Rew: ,98.0,Train_count: ,1217,Update_count: ,304
Rew: ,147.0,Train_count: ,1227,Update_count: ,306
Rew: ,200.0,Train_count: ,1237,Update_count: ,309
Rew: ,154.0,Train_count: ,1247,Update_count: ,311
Rew: ,191.0,Train_count: ,1257,Update_count: ,314
Rew: ,157.0,Train_count: ,1267,Update_count: ,316
Rew: ,200.0,Train_count: ,1277,Update_count: ,319
Rew: ,200.0,Train_count: ,1287,Update_count: ,321
Rew: ,109.0,Train_count: ,1297,Update_count: ,324
Rew: ,200.0,Train_count: ,1307,Update_count: ,326
Rew: ,147.0,Train_count: ,1317,Update_count: ,329
Rew: ,131.0,Train_count: ,1327,Update_count: ,331
Rew: ,200.0,Train_count: ,1337,Update_count: ,334
Rew: ,150.0,Train_count: ,1347,Update_count: ,336
Rew: ,143.0,Train_count: ,1357,Update_count: ,339
Rew: ,200.0,Train_count: ,1367,Update_count: ,341
Rew: ,200.0,Train_count: ,1377,Update_count: ,344
Rew: ,200.0,Train_count: ,1387,Update_count: ,346
Rew: ,122.0,Train_count: ,1397,Update_count: ,349
Rew: ,200.0,Train_count: ,1407,Update_count: ,351
Rew: ,200.0,Train_count: ,1417,Update_count: ,354
