Log Data for Client IPAddres: 127.0.1.1 Pid: 317
"

Testing Data for Client IPAddres: 127.0.1.1 Pid: 317 .."
Rew: ,200.0,Train_count: ,2127,Update_count: ,531
Rew: ,172.0,Train_count: ,2137,Update_count: ,534
Rew: ,143.0,Train_count: ,2147,Update_count: ,536
Rew: ,153.0,Train_count: ,2157,Update_count: ,539
Rew: ,167.0,Train_count: ,2167,Update_count: ,541
Rew: ,200.0,Train_count: ,2177,Update_count: ,544
Rew: ,200.0,Train_count: ,2187,Update_count: ,546
Rew: ,200.0,Train_count: ,2197,Update_count: ,549
Rew: ,200.0,Train_count: ,2207,Update_count: ,551
Rew: ,200.0,Train_count: ,2217,Update_count: ,554
Rew: ,200.0,Train_count: ,2227,Update_count: ,556
Rew: ,200.0,Train_count: ,2237,Update_count: ,559
Rew: ,200.0,Train_count: ,2247,Update_count: ,561
Rew: ,200.0,Train_count: ,2257,Update_count: ,564
Rew: ,200.0,Train_count: ,2267,Update_count: ,566
Rew: ,158.0,Train_count: ,2277,Update_count: ,569
Rew: ,200.0,Train_count: ,2287,Update_count: ,571
Rew: ,200.0,Train_count: ,2297,Update_count: ,574
Rew: ,200.0,Train_count: ,2307,Update_count: ,576
Rew: ,162.0,Train_count: ,2317,Update_count: ,579
Rew: ,187.0,Train_count: ,2327,Update_count: ,581
Rew: ,200.0,Train_count: ,2337,Update_count: ,584
Rew: ,200.0,Train_count: ,2347,Update_count: ,586
Rew: ,200.0,Train_count: ,2357,Update_count: ,589
Rew: ,200.0,Train_count: ,2367,Update_count: ,591
Rew: ,200.0,Train_count: ,2377,Update_count: ,594
Rew: ,200.0,Train_count: ,2387,Update_count: ,596
Rew: ,200.0,Train_count: ,2397,Update_count: ,599
Rew: ,200.0,Train_count: ,2407,Update_count: ,601
Rew: ,200.0,Train_count: ,2417,Update_count: ,604
Rew: ,200.0,Train_count: ,2427,Update_count: ,606
Rew: ,200.0,Train_count: ,2437,Update_count: ,609
Rew: ,200.0,Train_count: ,2447,Update_count: ,611
Rew: ,200.0,Train_count: ,2457,Update_count: ,614
Rew: ,200.0,Train_count: ,2467,Update_count: ,616
Rew: ,200.0,Train_count: ,2477,Update_count: ,619
Rew: ,149.0,Train_count: ,2487,Update_count: ,621
Rew: ,200.0,Train_count: ,2497,Update_count: ,624
Rew: ,156.0,Train_count: ,2507,Update_count: ,626
Rew: ,200.0,Train_count: ,2517,Update_count: ,629
Rew: ,200.0,Train_count: ,2527,Update_count: ,631
Rew: ,200.0,Train_count: ,2537,Update_count: ,634
Rew: ,200.0,Train_count: ,2547,Update_count: ,636
Rew: ,200.0,Train_count: ,2557,Update_count: ,639
Rew: ,200.0,Train_count: ,2567,Update_count: ,641
Rew: ,200.0,Train_count: ,2577,Update_count: ,644
Rew: ,200.0,Train_count: ,2587,Update_count: ,646
Rew: ,200.0,Train_count: ,2597,Update_count: ,649
Rew: ,200.0,Train_count: ,2607,Update_count: ,651
Rew: ,200.0,Train_count: ,2617,Update_count: ,654
Rew: ,200.0,Train_count: ,2627,Update_count: ,656
Rew: ,200.0,Train_count: ,2637,Update_count: ,659
Rew: ,200.0,Train_count: ,2647,Update_count: ,661
Rew: ,175.0,Train_count: ,2657,Update_count: ,664
Rew: ,200.0,Train_count: ,2667,Update_count: ,666
Rew: ,200.0,Train_count: ,2677,Update_count: ,669
Rew: ,197.0,Train_count: ,2687,Update_count: ,671
Rew: ,200.0,Train_count: ,2697,Update_count: ,674
Rew: ,200.0,Train_count: ,2707,Update_count: ,676
Rew: ,200.0,Train_count: ,2717,Update_count: ,679
Rew: ,185.0,Train_count: ,2727,Update_count: ,681
Rew: ,200.0,Train_count: ,2737,Update_count: ,684
Rew: ,200.0,Train_count: ,2747,Update_count: ,686
Rew: ,185.0,Train_count: ,2757,Update_count: ,689
Rew: ,197.0,Train_count: ,2767,Update_count: ,691
Rew: ,181.0,Train_count: ,2777,Update_count: ,694
Rew: ,200.0,Train_count: ,2787,Update_count: ,696
Rew: ,200.0,Train_count: ,2797,Update_count: ,699
Rew: ,200.0,Train_count: ,2807,Update_count: ,701
Rew: ,200.0,Train_count: ,2817,Update_count: ,704
Rew: ,200.0,Train_count: ,2827,Update_count: ,706
Rew: ,200.0,Train_count: ,2837,Update_count: ,709
Rew: ,200.0,Train_count: ,2847,Update_count: ,711
Rew: ,200.0,Train_count: ,2857,Update_count: ,714
Rew: ,193.0,Train_count: ,2867,Update_count: ,716
Rew: ,200.0,Train_count: ,2877,Update_count: ,719
Rew: ,181.0,Train_count: ,2887,Update_count: ,721
Rew: ,191.0,Train_count: ,2897,Update_count: ,724
Rew: ,200.0,Train_count: ,2907,Update_count: ,726
Rew: ,200.0,Train_count: ,2917,Update_count: ,729
Rew: ,200.0,Train_count: ,2927,Update_count: ,731
Rew: ,149.0,Train_count: ,2937,Update_count: ,734
Rew: ,200.0,Train_count: ,2947,Update_count: ,736
Rew: ,200.0,Train_count: ,2957,Update_count: ,739
Rew: ,200.0,Train_count: ,2967,Update_count: ,741
Rew: ,200.0,Train_count: ,2977,Update_count: ,744
Rew: ,197.0,Train_count: ,2987,Update_count: ,746
Rew: ,157.0,Train_count: ,2997,Update_count: ,749
Rew: ,200.0,Train_count: ,3007,Update_count: ,751
Rew: ,200.0,Train_count: ,3017,Update_count: ,754
Rew: ,200.0,Train_count: ,3027,Update_count: ,756
Rew: ,200.0,Train_count: ,3037,Update_count: ,759
Rew: ,200.0,Train_count: ,3047,Update_count: ,761
Rew: ,169.0,Train_count: ,3057,Update_count: ,764
Rew: ,200.0,Train_count: ,3067,Update_count: ,766
Rew: ,200.0,Train_count: ,3077,Update_count: ,769
Rew: ,200.0,Train_count: ,3087,Update_count: ,771
Rew: ,179.0,Train_count: ,3097,Update_count: ,774
Rew: ,200.0,Train_count: ,3107,Update_count: ,776
Rew: ,179.0,Train_count: ,3117,Update_count: ,779
Rew: ,200.0,Train_count: ,3127,Update_count: ,781
Rew: ,200.0,Train_count: ,3137,Update_count: ,784
Rew: ,179.0,Train_count: ,3147,Update_count: ,786
Rew: ,200.0,Train_count: ,3157,Update_count: ,789
Rew: ,200.0,Train_count: ,3167,Update_count: ,791
