epoch,reward,tr,loss
1,66.0,1,(6.643796623961862e-11, 0.026212165132164955)
10,10.0,10,(3.1391778065881226e-11, 0.013382078148424625)
20,8.0,20,(2.09277040141842e-11, 0.00979679450392723)
30,10.0,30,(1.5298873279334657e-12, 0.0004960575024597347)
40,9.0,40,(4.106937012693379e-12, 0.0020388062112033367)
50,11.0,50,(1.5010215292932116e-11, 0.007475598715245724)
60,12.0,60,(4.3576253716537394e-11, 0.018228860571980476)
70,11.0,70,(5.3095750018883336e-11, 0.022249460220336914)
80,10.0,80,(1.1510792319313623e-12, 0.0004273251397535205)
90,13.0,90,(5.752776033318696e-11, 0.022377172484993935)
100,8.0,100,(1.9586554600437012e-11, 0.008031550794839859)
110,9.0,110,(9.094947017729282e-13, 0.0004062125226482749)
120,9.0,120,(3.714406560106909e-11, 0.014741288498044014)
130,9.0,130,(1.4551915228366852e-11, 0.0051101455464959145)
140,9.0,140,(1.0015245521799443e-08, 4.722568988800049)
150,8.0,150,(5.130118552187923e-12, 0.0022314616944640875)
160,11.0,160,(1.0649703341414352e-11, 0.004463243298232555)
170,9.0,170,(5.752776033318696e-11, 0.022151626646518707)
180,10.0,180,(4.780531526193954e-11, 0.019527198746800423)
190,11.0,190,(5.730171892537328e-11, 0.023449836298823357)
200,8.0,200,(3.581579477440755e-12, 0.001437637023627758)
210,10.0,210,(1.9454660105111543e-11, 0.007071407977491617)
220,9.0,220,(5.730171892537328e-11, 0.02046212926506996)
230,10.0,230,(2.3165913631828516e-11, 0.010418595746159554)
240,9.0,240,(4.637401573859279e-11, 0.015992270782589912)
250,10.0,250,(1.879385536085465e-12, 0.0008626569760963321)
260,10.0,260,(5.0099036030815114e-11, 0.018697883933782578)
270,10.0,270,(2.09277040141842e-11, 0.00908671785145998)
280,9.0,280,(1.5475620784854982e-11, 0.005634273402392864)
290,10.0,290,(2.7853275241795927e-12, 0.0012180397752672434)
300,9.0,300,(5.972111694063642e-12, 0.0026781060732901096)
310,11.0,310,(4.298783551348606e-13, 0.00017103964637499303)
320,10.0,320,(3.2232438940127395e-11, 0.012382328510284424)
330,11.0,330,(8.617551117140465e-12, 0.0036200194153934717)
340,8.0,340,(4.604316927725449e-12, 0.0019333494128659368)
350,9.0,350,(6.4930283372177655e-12, 0.002438437892124057)
360,10.0,360,(2.0894397323445446e-12, 0.000881809217389673)
370,8.0,370,(3.695266315162371e-12, 0.0014472533948719501)
380,10.0,380,(1.7037482535897652e-11, 0.006720054429024458)
390,9.0,390,(1.4100720591159188e-11, 0.005893203895539045)
400,9.0,400,(2.1476598277558878e-11, 0.00804484635591507)
410,10.0,410,(3.7690739418394514e-11, 0.014922939240932465)
420,8.0,420,(7.51754214434186e-12, 0.002991296350955963)
430,9.0,430,(3.8689051962137455e-12, 0.0015800893306732178)
440,9.0,440,(3.8689051962137455e-12, 0.0015139627503231168)
450,10.0,450,(3.325562047962194e-11, 0.013487476855516434)
460,9.0,460,(3.750821875314614e-11, 0.01546507515013218)
470,10.0,470,(2.4919177832316564e-11, 0.010014195926487446)
480,8.0,480,(8.881784197001252e-12, 0.003551662201061845)
490,10.0,490,(6.963318810448982e-11, 0.028731176629662514)
500,10.0,500,(2.0117685295417687e-11, 0.008612175472080708)
510,8.0,510,(1.6427748050773516e-11, 0.006434672046452761)
520,10.0,520,(5.473399511402022e-12, 0.0022002840414643288)
530,9.0,530,(3.4644731528032935e-11, 0.013551569543778896)
540,9.0,540,(2.990718783735247e-11, 0.011233056895434856)
550,9.0,550,(1.205480160137995e-11, 0.005191628355532885)
560,9.0,560,(3.122524461218745e-11, 0.01137872226536274)
570,10.0,570,(7.194245199571014e-12, 0.0026300563476979733)
580,10.0,580,(2.0520474208751693e-11, 0.009685351513326168)
590,9.0,590,(1.750919409460039e-10, 0.06006128340959549)
600,9.0,600,(1.1415091094590935e-10, 0.05454084649682045)
610,9.0,610,(6.568967592102126e-12, 0.0029138782992959023)
620,9.0,620,(1.828981410767483e-11, 0.006773163564503193)
630,9.0,630,(3.3946623290148636e-11, 0.014844752848148346)
640,8.0,640,(3.916866830877552e-11, 0.01765531301498413)
650,10.0,650,(6.568967592102126e-12, 0.0030235126614570618)
660,9.0,660,(8.271161533457416e-12, 0.003762928768992424)
670,10.0,670,(4.0675018908586935e-11, 0.017926637083292007)
680,9.0,680,(2.6429081145806776e-11, 0.0097556347027421)
690,9.0,690,(9.526290867256648e-11, 0.03657021373510361)
700,9.0,700,(3.197442310920451e-14, 1.3700720955966972e-05)
710,9.0,710,(2.936761944738464e-12, 0.0013170455349609256)
720,10.0,720,(1.4213075161251254e-11, 0.006690886337310076)
730,9.0,730,(4.9467985263618175e-11, 0.017212770879268646)
740,8.0,740,(7.51754214434186e-12, 0.0034353791270405054)
750,9.0,750,(2.7853275241795927e-12, 0.0009725284762680531)
760,9.0,760,(9.814371537686384e-14, 3.595188172766939e-05)
770,10.0,770,(7.274625346553876e-12, 0.002515181666240096)
780,8.0,780,(3.4141578453272814e-12, 0.001084849238395691)
790,10.0,790,(9.979572723750607e-12, 0.005219460930675268)
800,9.0,800,(1.9454660105111543e-11, 0.011201038956642151)
810,8.0,810,(1.879385536085465e-12, 0.001005760277621448)
820,9.0,820,(7.239586707896706e-11, 0.022840265184640884)
830,10.0,830,(8.881784197001252e-12, 0.004421799443662167)
840,8.0,840,(1.4210854715202004e-14, 5.661627255904023e-06)
850,8.0,850,(6.66808830374066e-11, 0.023118410259485245)
860,9.0,860,(1.1834977442504169e-12, 0.0003834000090137124)
870,9.0,870,(3.5349945193274834e-11, 0.015771253034472466)
880,10.0,880,(3.8689051962137455e-12, 0.0012879454297944903)
890,9.0,890,(1.7408297026122455e-13, 8.996534597827122e-05)
900,9.0,900,(3.3634570684171194e-09, 1.5123013257980347)
910,9.0,910,(1.8207657603852567e-14, 7.351126441790257e-06)
920,8.0,920,(3.4141578453272814e-12, 0.0009225539397448301)
930,9.0,930,(1.9453239019640023e-10, 0.07099505513906479)
940,11.0,940,(0.0, 4.6556181132473284e-08)
950,8.0,950,(3.842615114990622e-11, 0.026141496375203133)
960,10.0,960,(3.8689051962137455e-12, 0.002154958201572299)
970,10.0,970,(5.130118552187923e-12, 0.0022565796971321106)
980,10.0,980,(5.063061081500564e-12, 0.0014417078346014023)
990,13.0,990,(1.5407453091142997e-10, 0.060218095779418945)
1000,14.0,1000,(2.936761944738464e-12, 0.000764041265938431)
1010,11.0,1010,(1.4210854715202004e-12, 0.0007350221276283264)
1020,12.0,1020,(3.042011087472929e-13, 0.0001671704085310921)
1030,15.0,1030,(4.220979121782875e-11, 0.016268912702798843)
1040,19.0,1040,(7.993605777301127e-13, 0.00038095767376944423)
1050,41.0,1050,(2.9878322038712213e-12, 0.001370548619888723)
1060,91.0,1060,(3.206324095117452e-11, 0.013656350784003735)
1070,57.0,1070,(8.100631276874992e-12, 0.004322451539337635)
1080,86.0,1080,(3.4141578453272814e-12, 0.0011113474611192942)
1090,95.0,1090,(2.990718783735247e-11, 0.019896475598216057)
1100,43.0,1100,(2.877698079828406e-13, 0.00019793902174569666)
1110,30.0,1110,(6.963318810448982e-13, 0.00046931440010666847)
1120,35.0,1120,(5.684341886080802e-14, 2.554047568992246e-05)
1130,58.0,1130,(8.208189683500677e-11, 0.05657237395644188)
1140,53.0,1140,(5.5289550715542646e-11, 0.03933750092983246)
1150,35.0,1150,(2.0041746040533326e-12, 0.0012555181747302413)
1160,34.0,1160,(8.881784197001252e-14, 4.1466482798568904e-05)
1170,32.0,1170,(1.2896794743255668e-11, 0.003814379684627056)
1180,21.0,1180,(1.2492229473082261e-12, 0.0006814920925535262)
1190,29.0,1190,(1.2825296380469808e-12, 0.000525813433341682)
1200,52.0,1200,(8.271161533457416e-12, 0.002703484147787094)
1210,51.0,1210,(3.206324095117452e-11, 0.009609945118427277)
1220,65.0,1220,(1.0264233907264497e-11, 0.003420777851715684)
1230,28.0,1230,(5.0099036030815114e-11, 0.019763389602303505)
1240,35.0,1240,(2.2879920180685076e-11, 0.021763436496257782)
1250,121.0,1250,(8.971046128181115e-12, 0.0022640381939709187)
1260,82.0,1260,(6.166844812582895e-11, 0.04461430385708809)
1270,53.0,1270,(9.606537787476555e-12, 0.0024048825725913048)
1280,86.0,1280,(2.0117685295417687e-11, 0.005593294743448496)
1290,82.0,1290,(7.73159314348959e-13, 0.00030465557938441634)
1300,73.0,1300,(8.038014698286133e-14, 5.210817471379414e-05)
1310,90.0,1310,(1.7195134205394424e-12, 0.000604035856667906)
1320,58.0,1320,(6.342038005868744e-12, 0.0017088077729567885)
1330,31.0,1330,(7.572964477731148e-11, 0.03796716034412384)
1340,22.0,1340,(1.1995426874022996e-10, 0.08192015439271927)
1350,52.0,1350,(9.240608278560103e-12, 0.007960514165461063)
1360,41.0,1360,(1.1441958491786863e-11, 0.0060573723167181015)
1370,58.0,1370,(2.106403940160817e-11, 0.005062331445515156)
1380,68.0,1380,(2.877698079828406e-13, 0.00016230497567448765)
1390,59.0,1390,(1.1951328815484885e-11, 0.005976185668259859)
1400,91.0,1400,(2.722266856380884e-13, 0.0001756981946527958)
1410,46.0,1410,(2.7853275241795927e-12, 0.0021339147351682186)
1420,52.0,1420,(1.0746958878371515e-11, 0.0036721050273627043)
1430,97.0,1430,(9.514611321037592e-12, 0.002525235526263714)
1440,132.0,1440,(2.106403940160817e-11, 0.026309451088309288)
1450,109.0,1450,(1.1537705235653561e-09, 2.5919530391693115)
1460,96.0,1460,(2.0463630789890885e-12, 0.002499375492334366)
1470,176.0,1470,(3.810729509723387e-12, 0.004519294016063213)
1480,125.0,1480,(3.552713678800501e-13, 0.0003876130504067987)
