epoch,reward,tr,loss
1,9.0,1,(3.1391778065881226e-09, 0.9993623495101929)
10,8.0,10,(2.8824964637408357e-09, 0.9767515659332275)
20,9.0,20,(1.931033555280237e-09, 0.9419211149215698)
30,10.0,30,(2.7387301315684454e-09, 0.897070050239563)
40,10.0,40,(1.8264110224208707e-09, 0.8742746114730835)
50,10.0,50,(3.412026217120001e-11, 0.011546298861503601)
60,8.0,60,(9.34964106136249e-10, 0.28252339363098145)
70,11.0,70,(5.324765073311255e-09, 1.5920323133468628)
80,10.0,80,(7.806257862341681e-10, 0.22405247390270233)
90,10.0,90,(2.9878322038712213e-10, 0.0858752578496933)
100,8.0,100,(2.1151436158106662e-10, 0.12766672670841217)
110,8.0,110,(6.864198098810448e-11, 0.044951535761356354)
120,9.0,120,(2.7858249040946248e-08, 23.11493492126465)
130,9.0,130,(8.142877483408029e-10, 0.20582211017608643)
140,8.0,140,(1.0911316294937023e-10, 0.02601574920117855)
150,9.0,150,(9.237632880854107e-11, 0.08696189522743225)
160,9.0,160,(4.700742017860193e-10, 0.0975157842040062)
170,10.0,170,(5.022684490540996e-08, 7.776498317718506)
180,9.0,180,(4.230671368787853e-11, 0.006350644864141941)
190,10.0,190,(2.990718783735247e-11, 0.09583067893981934)
200,10.0,200,(2.559297218596157e-11, 0.09326662123203278)
210,9.0,210,(3.973044115923585e-11, 0.00677014235407114)
220,10.0,220,(4.0675018908586935e-11, 0.051941681653261185)
230,9.0,230,(3.3538549715217414e-10, 0.06976635754108429)
240,10.0,240,(1.5298873279334657e-12, 0.0002644078922457993)
250,10.0,250,(3.482014676592371e-11, 0.05373625084757805)
260,9.0,260,(1.0649703341414352e-11, 0.011446983553469181)
270,8.0,270,(2.210243099654008e-11, 0.04764619097113609)
280,9.0,280,(2.432765100479628e-11, 0.04424402862787247)
290,9.0,290,(5.2015280971318134e-11, 0.04451555386185646)
300,8.0,300,(2.09277040141842e-11, 0.02232399210333824)
310,9.0,310,(1.4640377798968984e-10, 0.03540793061256409)
320,11.0,320,(4.0107028809188705e-11, 0.03845679759979248)
330,10.0,330,(9.555378710501827e-11, 0.022285038605332375)
340,10.0,340,(1.3613332683348744e-10, 0.032717082649469376)
350,9.0,350,(3.637978807091713e-12, 0.003403258044272661)
360,10.0,360,(1.585456210762004e-10, 0.04285315424203873)
370,9.0,370,(1.6422418980255316e-10, 0.08564122021198273)
380,10.0,380,(1.489519618758095e-11, 0.007726144976913929)
390,9.0,390,(3.824185412781844e-11, 0.02299799770116806)
400,10.0,400,(3.4696689965585392e-12, 0.001724969712086022)
410,9.0,410,(3.7347902548390266e-13, 0.0002003547560889274)
420,9.0,420,(2.638333995719222e-12, 0.001316266949288547)
430,10.0,430,(2.420144085135689e-10, 0.07499994337558746)
440,9.0,440,(6.963318810448982e-13, 0.0003163766523357481)
450,8.0,450,(4.352074256530614e-12, 0.0018345918506383896)
460,10.0,460,(8.100542459033022e-11, 0.03820958361029625)
470,8.0,470,(1.4100720591159188e-11, 0.00470837252214551)
480,9.0,480,(1.0388490068180545e-10, 0.04113297909498215)
490,10.0,490,(7.138512003734832e-11, 0.02681700699031353)
500,10.0,500,(1.176800878965878e-10, 0.045562513172626495)
510,8.0,510,(4.9467985263618175e-11, 0.019747639074921608)
520,9.0,520,(1.389999226830696e-13, 6.784627476008609e-05)
530,9.0,530,(3.3427483003833913e-11, 0.013959703035652637)
540,9.0,540,(1.2192069576144604e-10, 0.04922415688633919)
550,8.0,550,(6.213740633143061e-11, 0.024170592427253723)
560,9.0,560,(9.514611321037592e-12, 0.0039334469474852085)
570,9.0,570,(7.73159314348959e-13, 0.0003139640321023762)
580,9.0,580,(1.1064367200219749e-08, 4.551835060119629)
590,10.0,590,(4.048539281598096e-11, 0.01458832435309887)
600,10.0,600,(3.4294789230671086e-11, 0.012500669807195663)
610,10.0,610,(3.056266351109116e-11, 0.011352390050888062)
620,10.0,620,(2.2172486069393926e-11, 0.00813869759440422)
630,9.0,630,(7.114753231007853e-12, 0.0031680173706263304)
640,11.0,640,(1.354694134647616e-11, 0.0048733241856098175)
650,9.0,650,(7.51754214434186e-12, 0.002659827470779419)
660,8.0,660,(1.1241230168934635e-11, 0.003862741170451045)
670,9.0,670,(8.815170815523743e-13, 0.000424697354901582)
680,10.0,680,(4.4565240386873484e-11, 0.013800663873553276)
690,10.0,690,(1.9454660105111543e-11, 0.009434526786208153)
700,9.0,700,(2.3309354446610087e-11, 0.007949627004563808)
710,10.0,710,(3.197442310920451e-12, 0.0015170627739280462)
720,9.0,720,(7.114753231007853e-12, 0.002447134116664529)
730,10.0,730,(4.668709863153708e-12, 0.002253839746117592)
740,8.0,740,(2.2313262348916396e-11, 0.007586581166833639)
750,9.0,750,(1.0267342531733448e-12, 0.0004884825320914388)
760,8.0,760,(2.7853275241795927e-12, 0.0012951255775988102)
770,10.0,770,(1.0071993017390923e-08, 3.2434356212615967)
780,9.0,780,(3.1391778065881226e-11, 0.01698574423789978)
790,8.0,790,(1.6537216041001557e-10, 0.04873891919851303)
800,10.0,800,(4.863665026277886e-12, 0.00261881947517395)
810,8.0,810,(4.4565240386873484e-11, 0.014400258660316467)
820,11.0,820,(4.54081217071689e-12, 0.0022050957195460796)
830,9.0,830,(6.403100272223128e-11, 0.022142544388771057)
840,9.0,840,(1.1510792319313623e-12, 0.0005127310869283974)
850,8.0,850,(1.7408297026122455e-13, 7.582926627947018e-05)
860,9.0,860,(1.389999226830696e-13, 6.569939432665706e-05)
870,9.0,870,(7.392531031769067e-11, 0.03607149049639702)
880,9.0,880,(1.4570566975180554e-12, 0.0006860432331450284)
890,10.0,890,(4.167777234442838e-12, 0.002025629160925746)
900,10.0,900,(7.993605777301127e-09, 2.6595568656921387)
910,10.0,910,(1.8389734179891093e-12, 0.0006374881486408412)
920,10.0,920,(8.815170815523743e-13, 0.00030861340928822756)
930,9.0,930,(2.0385915178167124e-11, 0.006891761440783739)
940,8.0,940,(2.751221472863108e-11, 0.008539095520973206)
950,10.0,950,(4.863309754910006e-11, 0.016884474083781242)
960,9.0,960,(1.0267342531733448e-12, 0.00046179353375919163)
970,10.0,970,(1.9323653788205775e-11, 0.007536409422755241)
980,10.0,980,(1.7909229654833325e-11, 0.007241268642246723)
990,10.0,990,(1.692268547515141e-10, 0.062185563147068024)
1000,9.0,1000,(4.1247449900083666e-11, 0.015463948249816895)
1010,9.0,1010,(1.9586554600437012e-11, 0.008204950019717216)
1020,10.0,1020,(1.8630785802997707e-10, 0.07375866174697876)
1030,9.0,1030,(9.885869900472244e-12, 0.004231642931699753)
1040,9.0,1040,(3.206324095117452e-11, 0.012159372679889202)
1050,9.0,1050,(2.220446049250313e-15, 7.790279141772771e-07)
1060,10.0,1060,(3.552713678800501e-15, 1.9646586224553175e-06)
1070,9.0,1070,(2.877698079828406e-13, 0.00012948171934112906)
1080,9.0,1080,(1.8417267710901797e-11, 0.007441583089530468)
1090,13.0,1090,(3.552713678800501e-15, 1.6404092093580402e-06)
1100,15.0,1100,(2.0463630789890885e-12, 0.0008138725534081459)
1110,10.0,1110,(8.185452315956354e-12, 0.003204731270670891)
1120,9.0,1120,(3.552713678800501e-15, 1.0349644981033634e-06)
1130,9.0,1130,(9.78985781330266e-11, 0.03847082704305649)
1140,11.0,1140,(1.581703656938771e-10, 0.06130768731236458)
1150,9.0,1150,(1.8417267710901797e-11, 0.0076925670728087425)
1160,9.0,1160,(5.473399511402022e-12, 0.0022808590438216925)
1170,8.0,1170,(1.1951328815484885e-11, 0.004501200746744871)
1180,9.0,1180,(2.5217605781335806e-11, 0.00934686977416277)
1190,9.0,1190,(6.87805368215777e-12, 0.0024408164899796247)
1200,10.0,1200,(6.645795025406187e-12, 0.002201044699177146)
1210,10.0,1210,(3.5705216561154884e-11, 0.01769905723631382)
1220,9.0,1220,(6.595302082246235e-11, 0.035607583820819855)
1230,8.0,1230,(2.9878322038712213e-12, 0.0008984254091046751)
1240,9.0,1240,(7.887379638304992e-11, 0.04372480884194374)
1250,8.0,1250,(1.2472245458639009e-11, 0.006913312710821629)
1260,9.0,1260,(3.0397906414236786e-12, 0.0014568108599632978)
1270,9.0,1270,(2.638333995719222e-12, 0.001205855282023549)
1280,9.0,1280,(2.2027180079930986e-10, 0.11283943057060242)
1290,9.0,1290,(2.2595703086381036e-11, 0.01051831804215908)
1300,10.0,1300,(2.420144085135689e-10, 0.11935393512248993)
1310,8.0,1310,(2.722266856380884e-13, 8.54156314744614e-05)
1320,10.0,1320,(2.220446049250313e-12, 0.0006973424460738897)
1330,9.0,1330,(2.355893258254582e-12, 0.0007249474874697626)
1340,8.0,1340,(5.2878590395266656e-11, 0.03196973353624344)
1350,10.0,1350,(1.184874420800952e-11, 0.0068758572451770306)
