epoch,reward,tr,loss
1,10.0,1,(1.6079320097617256e-09, 0.8350293636322021)
10,9.0,10,(1.5770109662582854e-09, 0.8218000531196594)
20,9.0,20,(1.5746448589482043e-09, 0.8077030181884766)
30,9.0,30,(2.4651889418692008e-09, 0.7621356844902039)
40,9.0,40,(1.6488201914910405e-09, 0.5010615587234497)
50,10.0,50,(1.6391532575710244e-09, 0.5198062062263489)
60,9.0,60,(1.575827468514035e-09, 0.5148761868476868)
70,9.0,70,(6.470046720608025e-10, 0.32294943928718567)
80,10.0,80,(2.8002711260910473e-10, 0.1431967318058014)
90,9.0,90,(6.118661133314163e-10, 0.20029273629188538)
100,9.0,100,(3.857190122857901e-08, 13.07682991027832)
110,8.0,110,(2.420144085135689e-10, 0.125854954123497)
120,8.0,120,(2.609148452847876e-10, 0.1517294943332672)
130,9.0,130,(5.522093893262081e-10, 0.16724154353141785)
140,9.0,140,(1.928732729084004e-10, 0.11005563288927078)
150,10.0,150,(2.1368729008486298e-10, 0.11789261549711227)
160,9.0,160,(8.100542459033022e-11, 0.026185614988207817)
170,9.0,170,(9.439204973205051e-11, 0.05241167172789574)
180,10.0,180,(7.264944201779144e-11, 0.03603599593043327)
190,10.0,190,(1.2994627596185637e-10, 0.07428187131881714)
200,9.0,200,(2.638333995719222e-12, 0.0013099773786962032)
210,9.0,210,(3.154951855321997e-10, 0.10671916604042053)
220,8.0,220,(5.613461695475053e-09, 3.009925127029419)
230,9.0,230,(2.0894397323445446e-12, 0.0008143895538523793)
240,10.0,240,(1.57048152260586e-10, 0.06612449139356613)
250,9.0,250,(2.1281687523355686e-10, 0.10196387022733688)
260,8.0,260,(2.870526039089327e-10, 0.143213152885437)
270,9.0,270,(2.7853275241795927e-12, 0.0005904021090827882)
280,10.0,280,(1.4930279235159105e-10, 0.038603562861680984)
290,10.0,290,(1.7156098763848604e-10, 0.12230741232633591)
300,9.0,300,(1.035971308738226e-11, 0.016421379521489143)
310,10.0,310,(4.617106696969131e-11, 0.04176642373204231)
320,9.0,320,(1.2060796805712926e-10, 0.08265715837478638)
330,10.0,330,(1.0880185641326534e-10, 0.07167398929595947)
340,9.0,340,(6.645795025406187e-12, 0.007370672654360533)
350,8.0,350,(1.2683631922527638e-11, 0.01172563061118126)
360,10.0,360,(7.572964477731148e-11, 0.016748251393437386)
370,10.0,370,(1.5475620784854982e-11, 0.013750685378909111)
380,9.0,380,(4.143885234952904e-11, 0.010204337537288666)
390,11.0,390,(4.780531526193954e-11, 0.015472428873181343)
400,10.0,400,(2.447464453325665e-11, 0.017306802794337273)
410,10.0,410,(1.5178930112824673e-08, 3.619412422180176)
420,9.0,420,(1.7533086094090322e-11, 0.014530270360410213)
430,9.0,430,(4.1247449900083666e-11, 0.0333143025636673)
440,9.0,440,(3.6062264285874335e-11, 0.029218582436442375)
