epoch,reward,tr,loss
1,9.0,1,(2.4283353106113736e-09, 1.0744266510009766)
10,10.0,10,(2.2965309653955046e-09, 1.017709493637085)
20,9.0,20,(2.1892709867188387e-09, 0.9688099026679993)
30,9.0,30,(1.9944068618826805e-09, 0.9013460278511047)
40,8.0,40,(2.030503765126923e-09, 0.7165359854698181)
50,9.0,50,(1.580563235847876e-09, 0.5541616678237915)
60,9.0,60,(1.433671403816561e-09, 0.4674608111381531)
70,10.0,70,(1.3613332683348744e-10, 0.047187045216560364)
80,11.0,80,(3.6910350331709196e-08, 12.536407470703125)
90,10.0,90,(2.4340751636486857e-10, 0.08136317878961563)
100,10.0,100,(1.8035795079640593e-11, 0.008872856386005878)
110,9.0,110,(1.2325109821631486e-09, 0.5749642848968506)
120,9.0,120,(5.943014969034266e-10, 0.20543862879276276)
130,10.0,130,(1.2023559925466998e-09, 0.4177902340888977)
140,9.0,140,(5.19105203267145e-10, 0.18479160964488983)
150,10.0,150,(9.555378710501827e-11, 0.04294391721487045)
160,9.0,160,(1.5370460459962487e-10, 0.08058663457632065)
170,9.0,170,(1.9080959035022715e-10, 0.10080753266811371)
180,10.0,180,(1.4389067715114834e-10, 0.0812273621559143)
190,10.0,190,(7.808198532188726e-11, 0.045506853610277176)
200,10.0,200,(3.007016857736744e-11, 0.008974205702543259)
210,9.0,210,(1.0880185641326534e-10, 0.06245649605989456)
220,11.0,220,(4.8841375388519737e-11, 0.01451027486473322)
230,9.0,230,(1.0510348147363402e-10, 0.05763811990618706)
240,10.0,240,(2.936761944738464e-12, 0.0017929414752870798)
250,10.0,250,(2.3309354446610087e-11, 0.014052760787308216)
260,9.0,260,(3.3946623290148636e-11, 0.01780642941594124)
270,9.0,270,(5.4847237862531983e-11, 0.029633862897753716)
280,9.0,280,(7.239586707896706e-11, 0.03919057548046112)
290,9.0,290,(7.677058988520002e-11, 0.04158361256122589)
300,10.0,300,(1.8671508783540958e-10, 0.05570390820503235)
310,9.0,310,(1.6792345292060418e-11, 0.004893584176898003)
320,10.0,320,(2.176481217475157e-12, 0.001160635962150991)
330,10.0,330,(3.122524461218745e-11, 0.009119201451539993)
340,10.0,340,(6.106123606741676e-09, 3.549067258834839)
350,11.0,350,(6.260814089387168e-11, 0.035213224589824677)
360,10.0,360,(1.6427748050773516e-11, 0.005032756831496954)
370,9.0,370,(2.7356339415973707e-11, 0.014103453606367111)
380,9.0,380,(1.8957635461447353e-10, 0.06066285818815231)
390,9.0,390,(4.863665026277886e-12, 0.002319898223504424)
