epoch,reward,tr,loss
1,10.0,1,(2.4356836547667626e-09, 1.0793033838272095)
10,9.0,10,(2.839456669789797e-09, 0.9747512340545654)
20,9.0,20,(2.7387301315684454e-09, 0.9437655210494995)
30,9.0,30,(1.8378920607631244e-09, 0.8807334303855896)
40,9.0,40,(1.9612720336681377e-09, 0.6624107956886292)
50,8.0,50,(1.1461906979093328e-09, 0.5664057731628418)
60,10.0,60,(8.486602531831977e-10, 0.40966910123825073)
70,9.0,70,(5.459241947392002e-10, 0.17823971807956696)
80,10.0,80,(5.943014969034266e-10, 0.31212499737739563)
90,9.0,90,(4.40821157354776e-10, 0.24292632937431335)
100,9.0,100,(3.008473470345052e-10, 0.16438940167427063)
110,10.0,110,(3.3427483003833913e-11, 0.016034208238124847)
120,9.0,120,(1.099259794301588e-09, 0.5328467488288879)
130,9.0,130,(8.460574463242665e-10, 0.4081224203109741)
140,9.0,140,(3.547597771103028e-10, 0.11852937936782837)
150,9.0,150,(1.5967316358000971e-10, 0.0796157717704773)
160,8.0,160,(2.865476744773332e-10, 0.15447814762592316)
170,10.0,170,(3.122524461218745e-11, 0.018972542136907578)
180,9.0,180,(2.7045476969078663e-11, 0.007773411460220814)
190,9.0,190,(5.1159076974727213e-11, 0.014308508485555649)
200,8.0,200,(1.4748779975093385e-10, 0.08904778212308884)
210,10.0,210,(6.09681194418954e-11, 0.01822705753147602)
220,9.0,220,(7.16369186193333e-11, 0.02222364954650402)
230,10.0,230,(4.617106696969131e-11, 0.02700207754969597)
240,10.0,240,(5.2230664238095414e-11, 0.027528265491127968)
250,10.0,250,(2.6123547769429933e-11, 0.013665825128555298)
260,10.0,260,(3.7347902548390266e-13, 0.00020258149015717208)
270,9.0,270,(2.8617552771947885e-11, 0.01436091773211956)
280,9.0,280,(1.0267342531733448e-12, 0.0005015847273170948)
290,9.0,290,(5.123372837090301e-10, 0.24309910833835602)
300,9.0,300,(3.6421088367433185e-11, 0.011918548494577408)
310,10.0,310,(1.1639045283118321e-10, 0.06629369407892227)
320,9.0,320,(1.7351808878629527e-10, 0.0521472804248333)
330,10.0,330,(2.1614710021822248e-11, 0.011003134772181511)
340,10.0,340,(8.673639584344528e-11, 0.027595633640885353)
350,10.0,350,(1.0880185641326534e-10, 0.03672502934932709)
360,10.0,360,(5.2015280971318134e-11, 0.01843707635998726)
370,8.0,370,(6.213740633143061e-11, 0.0321769081056118)
380,8.0,380,(1.0540945893922071e-10, 0.03752904757857323)
390,8.0,390,(8.398304274237489e-11, 0.03496098890900612)
400,9.0,400,(1.0267342531733448e-10, 0.04231647774577141)
410,10.0,410,(6.355493908927201e-11, 0.029024021700024605)
420,8.0,420,(6.741318614444936e-11, 0.022416850551962852)
