epoch,reward,tr,loss
1,9.0,1,(2.8665181339704304e-09, 0.9623993635177612)
10,8.0,10,(1.888057710175417e-09, 0.8996541500091553)
20,10.0,20,(1.6865477903138526e-09, 0.8306317329406738)
30,9.0,30,(2.3036776930496217e-09, 0.8132477402687073)
40,10.0,40,(1.5912449136123996e-09, 0.7026575207710266)
50,9.0,50,(1.1191105819818858e-09, 0.49961331486701965)
60,9.0,60,(1.0953109530476013e-09, 0.4617713391780853)
70,10.0,70,(1.0092868762967555e-09, 0.3788764774799347)
80,8.0,80,(7.32271132619644e-10, 0.26241540908813477)
90,10.0,90,(1.5010215292932116e-11, 0.006899562198668718)
100,10.0,100,(2.5947288762040444e-10, 0.09394003450870514)
110,10.0,110,(7.650990951901804e-11, 0.025519829243421555)
120,9.0,120,(1.176800878965878e-10, 0.04380491003394127)
130,10.0,130,(1.3405498933138915e-10, 0.04421324282884598)
140,8.0,140,(1.7865930956872944e-10, 0.06090362370014191)
150,10.0,150,(6.864198098810448e-11, 0.029723403975367546)
160,10.0,160,(5.46265255252365e-11, 0.02143176645040512)
170,100.0,170,(8.953415786550067e-11, 0.03361576795578003)
180,14.0,180,(8.645884008728899e-11, 0.03613699600100517)
190,13.0,190,(4.5565773376665675e-11, 0.017040042206645012)
200,10.0,200,(3.122524461218745e-11, 0.011515499092638493)
210,11.0,210,(1.3302159374006806e-08, 4.866017818450928)
220,9.0,220,(4.0675018908586935e-11, 0.017943240702152252)
230,9.0,230,(5.684341886080802e-14, 2.0804416635655798e-05)
240,8.0,240,(6.568967592102126e-12, 0.002293424215167761)
250,9.0,250,(4.476463644209616e-11, 0.01608206517994404)
260,9.0,260,(1.2683631922527638e-11, 0.005361275281757116)
270,11.0,270,(8.79341044424109e-12, 0.0034021176397800446)
280,17.0,280,(5.1159076974727213e-11, 0.019766205921769142)
290,27.0,290,(5.1800785882960554e-11, 0.020326007157564163)
300,10.0,300,(5.752776033318696e-11, 0.023184143006801605)
310,10.0,310,(4.4565240386873484e-11, 0.01895212009549141)
320,9.0,320,(2.7360336218862358e-12, 0.001144060748629272)
330,9.0,330,(9.383605004131823e-13, 0.0003521241887938231)
340,9.0,340,(3.552713678800501e-13, 0.00013358866272028536)
350,9.0,350,(1.1042278202921807e-11, 0.003941885195672512)
360,10.0,360,(4.298783551348606e-11, 0.015844695270061493)
370,9.0,370,(3.3427483003833913e-11, 0.014946656301617622)
380,10.0,380,(6.355493908927201e-11, 0.02276710607111454)
390,9.0,390,(6.09681194418954e-11, 0.02782256528735161)
400,9.0,400,(3.824185412781844e-11, 0.013264183886349201)
410,11.0,410,(3.122524461218745e-11, 0.011740557849407196)
420,10.0,420,(1.2366996315904544e-11, 0.004761264193803072)
430,10.0,430,(4.440892098500626e-16, 1.6738431440899149e-07)
440,10.0,440,(1.1102230246251565e-14, 3.602594915719237e-06)
450,12.0,450,(2.4016344468691386e-12, 0.0009382913704030216)
460,10.0,460,(4.298783551348606e-13, 0.0001799520687200129)
470,11.0,470,(1.8389734179891093e-12, 0.0007342337630689144)
480,9.0,480,(2.8141045049778768e-11, 0.011163725517690182)
490,10.0,490,(5.0099036030815114e-11, 0.019084230065345764)
500,9.0,500,(6.571099220309407e-11, 0.02557874657213688)
510,11.0,510,(1.2472245458639009e-11, 0.005119421053677797)
520,10.0,520,(3.552713678800501e-11, 0.013757452368736267)
530,9.0,530,(7.931877377131968e-12, 0.0032527430448681116)
540,9.0,540,(1.630739987490415e-11, 0.006790559738874435)
550,9.0,550,(4.863309754910006e-11, 0.018473481759428978)
560,9.0,560,(4.54081217071689e-12, 0.0018234369345009327)
570,10.0,570,(7.436273818939299e-12, 0.002918307203799486)
580,10.0,580,(2.1614710021822248e-11, 0.008431131951510906)
590,12.0,590,(4.9258819245778795e-11, 0.019222350791096687)
600,10.0,600,(4.0107028809188705e-11, 0.016390476375818253)
610,9.0,610,(3.3427483003833913e-11, 0.013868807815015316)
620,9.0,620,(2.942002197414695e-11, 0.013044008053839207)
630,8.0,630,(4.8841375388519737e-11, 0.021871689707040787)
640,9.0,640,(1.9984014443252818e-11, 0.009522732347249985)
650,10.0,650,(2.1614710021822248e-11, 0.010077281855046749)
660,9.0,660,(4.6780801454815446e-11, 0.019169894978404045)
670,10.0,670,(2.3165913631828516e-11, 0.00902029499411583)
680,12.0,680,(1.6914469824769185e-11, 0.006757279392331839)
690,9.0,690,(1.594813170413545e-11, 0.006522177718579769)
