epoch,reward,tr,loss
1,10.0,1,(1.7985612998927536e-10, 0.06620213389396667)
10,11.0,10,(1.0264233907264497e-11, 0.003786893794313073)
20,10.0,20,(1.9984014443252818e-11, 0.007522755302488804)
30,10.0,30,(5.551115123125783e-11, 0.020194673910737038)
40,9.0,40,(9.46820399860826e-11, 0.04358871281147003)
50,11.0,50,(8.235234716380546e-11, 0.03919454291462898)
60,12.0,60,(1.717950581792138e-08, 5.618256568908691)
70,10.0,70,(1.1004885891452432e-10, 0.045171286910772324)
80,10.0,80,(1.2257972414886353e-10, 0.051480624824762344)
90,12.0,90,(7.274625346553876e-12, 0.003449283540248871)
100,9.0,100,(5.115907697472721e-13, 0.00025159510551020503)
110,11.0,110,(5.115907697472721e-13, 0.00020347833924461156)
120,11.0,120,(7.887379638304992e-11, 0.0296409223228693)
130,16.0,130,(1.0756195933936397e-10, 0.04119325056672096)
140,17.0,140,(2.766897821970815e-11, 0.011675908230245113)
150,10.0,150,(2.1753709944505317e-11, 0.008586926385760307)
160,11.0,160,(1.1510792319313623e-12, 0.00048488486208952963)
170,9.0,170,(3.637978807091713e-12, 0.001572573441080749)
180,12.0,180,(4.0675018908586935e-11, 0.016920678317546844)
190,11.0,190,(1.2262635351589779e-11, 0.0047372751869261265)
200,10.0,200,(1.6067591701585116e-11, 0.00638927286490798)
210,9.0,210,(1.2683631922527638e-11, 0.005254278425127268)
220,9.0,220,(1.985123176950765e-11, 0.007408589124679565)
230,9.0,230,(7.274625346553876e-12, 0.0030453139916062355)
240,10.0,240,(1.828981410767483e-11, 0.008019163273274899)
250,10.0,250,(5.2230664238095414e-11, 0.024082675576210022)
260,11.0,260,(2.0655921417755962e-11, 0.007565248291939497)
270,11.0,270,(2.432765100479628e-11, 0.009190008975565434)
280,9.0,280,(1.8389734179891093e-12, 0.0007786350906826556)
290,11.0,290,(3.6421088367433185e-11, 0.014605953358113766)
300,9.0,300,(4.9678039459877255e-11, 0.01991194859147072)
310,10.0,310,(5.0099036030815114e-11, 0.01924523338675499)
320,11.0,320,(3.007016857736744e-11, 0.012829886749386787)
330,17.0,330,(3.412026217120001e-11, 0.014140116050839424)
340,25.0,340,(6.004086117172847e-11, 0.023283937945961952)
350,9.0,350,(3.5349945193274834e-11, 0.01341375894844532)
360,9.0,360,(4.163114297739412e-11, 0.016591321676969528)
370,10.0,370,(2.0117685295417687e-11, 0.00780425826087594)
380,11.0,380,(1.6914469824769185e-11, 0.007210220210254192)
390,9.0,390,(8.530065542800003e-12, 0.0031118267215788364)
400,9.0,400,(1.828981410767483e-11, 0.0065503972582519054)
410,9.0,410,(2.7356339415973707e-11, 0.010682685300707817)
420,9.0,420,(1.8417267710901797e-11, 0.007734823506325483)
430,10.0,430,(3.4141578453272814e-12, 0.0012318247463554144)
440,10.0,440,(1.4438672479855086e-11, 0.0062377601861953735)
450,10.0,450,(2.942002197414695e-11, 0.012523764744400978)
460,10.0,460,(1.985123176950765e-11, 0.00800187885761261)
470,9.0,470,(3.8611336350413694e-11, 0.015383883379399776)
480,10.0,480,(3.8611336350413694e-11, 0.015422586351633072)
490,10.0,490,(4.4366732510070506e-11, 0.018288718536496162)
500,8.0,500,(3.552713678800501e-11, 0.013552846387028694)
510,9.0,510,(3.7690739418394514e-11, 0.014264337718486786)
520,10.0,520,(4.3576253716537394e-11, 0.016300493851304054)
