epoch,reward,tr,loss
1,9.0,1,(1.9984014443252818e-09, 0.9993815422058105)
10,10.0,10,(1.8315091665499494e-09, 0.946681797504425)
20,9.0,20,(1.5710988066075515e-09, 0.9091329574584961)
30,10.0,30,(1.4631607037074446e-09, 0.8567531108856201)
40,8.0,40,(2.6444184619833777e-09, 0.7309565544128418)
50,10.0,50,(1.0552447804457188e-09, 0.6874173283576965)
60,9.0,60,(1.651241365863143e-09, 0.47755560278892517)
70,10.0,70,(1.0398117922250094e-09, 0.2981199026107788)
80,9.0,80,(3.197442310920451e-10, 0.19784016907215118)
90,10.0,90,(2.0806112388527254e-10, 0.13581298291683197)
100,8.0,100,(7.239586707896706e-11, 0.04699757695198059)
110,9.0,110,(2.936761944738464e-12, 0.0015528376679867506)
120,10.0,120,(3.637978807091713e-12, 0.001134291640482843)
130,10.0,130,(9.969802761133906e-13, 0.0005650967359542847)
140,10.0,140,(4.637401573859279e-11, 0.01330485474318266)
150,10.0,150,(5.403677505455562e-12, 0.003574347123503685)
160,10.0,160,(1.630739987490415e-11, 0.009416935034096241)
170,10.0,170,(5.752776033318696e-11, 0.03445003181695938)
180,10.0,180,(1.8545609492548465e-11, 0.010476497933268547)
190,8.0,190,(3.412026217120001e-11, 0.018292846158146858)
200,9.0,200,(5.730171892537328e-11, 0.017404736950993538)
210,9.0,210,(9.15045816896054e-12, 0.002573773730546236)
220,10.0,220,(6.963318810448982e-11, 0.022178461775183678)
230,8.0,230,(1.7195134205394424e-10, 0.0567503459751606)
240,10.0,240,(8.535394613318203e-11, 0.03946366906166077)
250,10.0,250,(1.1639045283118321e-10, 0.04137171059846878)
260,10.0,260,(1.2896794743255668e-11, 0.0054482826963067055)
270,18.0,270,(4.8841375388519737e-11, 0.019316939637064934)
280,63.0,280,(8.530065542800003e-12, 0.0035918152425438166)
290,24.0,290,(2.1614710021822248e-11, 0.008759940043091774)
300,16.0,300,(3.637978807091713e-12, 0.0013848848175257444)
310,12.0,310,(2.8141045049778768e-11, 0.00969455111771822)
320,23.0,320,(8.535394613318203e-11, 0.032226622104644775)
330,22.0,330,(4.4565240386873484e-11, 0.01671537570655346)
340,18.0,340,(9.2433403153791e-09, 3.3018136024475098)
350,10.0,350,(5.115907697472721e-13, 0.00019850295211654156)
360,9.0,360,(5.573363992539271e-11, 0.02606884390115738)
370,9.0,370,(8.181233468462779e-11, 0.045745089650154114)
380,9.0,380,(3.973044115923585e-11, 0.01975601725280285)
390,9.0,390,(1.8545609492548465e-11, 0.0076796915382146835)
400,9.0,400,(3.6781688805831436e-11, 0.012951699085533619)
410,10.0,410,(8.881784197001252e-12, 0.004605126101523638)
420,9.0,420,(7.114753231007853e-12, 0.002061627572402358)
