epoch,reward,tr,loss
1,10.0,1,(2.6766997507365886e-09, 1.0242584943771362)
10,10.0,10,(2.4019723987578345e-09, 0.9875790476799011)
20,10.0,20,(2.3266211179873153e-09, 0.9724531769752502)
30,9.0,30,(2.1118786719398486e-09, 0.9219624400138855)
40,10.0,40,(2.404894505758648e-09, 0.8916293978691101)
50,10.0,50,(2.2751582839930506e-09, 0.8379517793655396)
60,11.0,60,(1.93496418887662e-09, 0.7518686056137085)
70,15.0,70,(1.6079320097617256e-09, 0.6487643122673035)
80,10.0,80,(1.3089938022403658e-09, 0.5097233057022095)
90,10.0,90,(5.459241947392002e-10, 0.21765722334384918)
100,12.0,100,(1.2257972414886353e-10, 0.0488719679415226)
110,9.0,110,(1.68839164871315e-10, 0.06729745864868164)
120,9.0,120,(6.956657472301231e-12, 0.0026773165445774794)
130,10.0,130,(1.113029668431409e-10, 0.04704110696911812)
140,9.0,140,(6.027223165006035e-11, 0.026127543300390244)
150,10.0,150,(2.1614710021822248e-11, 0.009701548144221306)
160,9.0,160,(4.863665026277886e-12, 0.001830611377954483)
170,10.0,170,(1.0027179087046534e-10, 0.03859531879425049)
180,10.0,180,(1.0027179087046534e-10, 0.041838862001895905)
190,10.0,190,(1.0746958878371515e-11, 0.003905385732650757)
200,9.0,200,(2.1360690993788012e-13, 9.906739433063194e-05)
210,9.0,210,(8.645884008728899e-11, 0.03657960519194603)
220,9.0,220,(1.2060796805712926e-10, 0.04623398557305336)
230,9.0,230,(5.820766091346741e-11, 0.02373621240258217)
240,9.0,240,(2.2879920180685076e-11, 0.009754645638167858)
250,10.0,250,(2.581979074989249e-11, 0.011007437482476234)
260,9.0,260,(1.2825296380469808e-10, 0.0452251173555851)
270,9.0,270,(1.3219647598816664e-11, 0.005912437569350004)
280,11.0,280,(6.284395226430206e-11, 0.022315870970487595)
290,9.0,290,(2.845332858214533e-10, 0.07863006740808487)
300,9.0,300,(3.042011087472929e-13, 0.0001348869554931298)
310,10.0,310,(8.316547450704093e-11, 0.03143325075507164)
320,10.0,320,(4.0675018908586935e-11, 0.01582351326942444)
330,10.0,330,(2.5424107263916085e-12, 0.001017149188555777)
340,10.0,340,(6.800338070434009e-12, 0.0027929218485951424)
350,10.0,350,(4.046984969363621e-12, 0.0017159112030640244)
360,9.0,360,(3.3946623290148636e-11, 0.014316552318632603)
370,9.0,370,(4.476463644209616e-11, 0.016445036977529526)
380,10.0,380,(8.701395159960157e-09, 2.9208972454071045)
390,10.0,390,(7.967004833631108e-11, 0.028285309672355652)
400,9.0,400,(3.637978807091713e-12, 0.0016846879152581096)
410,10.0,410,(1.6792345292060418e-11, 0.007986231707036495)
420,9.0,420,(9.885869900472244e-12, 0.004506416618824005)
430,9.0,430,(1.7037482535897652e-11, 0.007686336990445852)
440,9.0,440,(7.931877377131968e-12, 0.003663614857941866)
450,8.0,450,(1.9586554600437012e-11, 0.006830264814198017)
460,9.0,460,(2.0806112388527254e-10, 0.07388148456811905)
470,9.0,470,(5.2878590395266656e-11, 0.02009085938334465)
480,9.0,480,(1.0880185641326534e-10, 0.04931613430380821)
490,9.0,490,(2.0463630789890885e-10, 0.07687988877296448)
500,10.0,500,(4.0675018908586935e-11, 0.016074083745479584)
510,9.0,510,(1.5829559885105482e-11, 0.00563849788159132)
520,10.0,520,(2.6123547769429933e-11, 0.012169155292212963)
530,10.0,530,(4.240385820253323e-11, 0.014097112230956554)
540,9.0,540,(8.673639584344528e-11, 0.028598453849554062)
550,10.0,550,(2.2879920180685076e-11, 0.011376484297215939)
560,10.0,560,(2.0655921417755962e-11, 0.009705916978418827)
570,9.0,570,(3.197442310920451e-12, 0.0011152453953400254)
580,8.0,580,(2.220446049250313e-15, 4.850017489843594e-07)
590,9.0,590,(1.9586554600437012e-11, 0.006613066419959068)
600,10.0,600,(8.185452315956354e-12, 0.004073799587786198)
610,9.0,610,(5.3095750018883336e-11, 0.019015192985534668)
620,8.0,620,(2.220446049250313e-12, 0.0008126351167447865)
630,10.0,630,(1.0267342531733448e-12, 0.0003622624499257654)
640,10.0,640,(6.192824031359123e-12, 0.002277740277349949)
650,9.0,650,(1.5475620784854982e-11, 0.005843744147568941)
660,10.0,660,(2.3309354446610087e-11, 0.007487147115170956)
670,32.0,670,(3.916866830877552e-11, 0.015663588419556618)
680,111.0,680,(6.004086117172847e-11, 0.02446012943983078)
690,45.0,690,(3.360023370646559e-11, 0.013588286004960537)
700,74.0,700,(8.981615451375546e-11, 0.03626782447099686)
710,61.0,710,(9.439204973205051e-11, 0.03998638316988945)
720,28.0,720,(1.8696155734687636e-13, 8.470319880871102e-05)
730,18.0,730,(5.198064201294983e-12, 0.0018688378622755408)
740,13.0,740,(3.581579477440755e-12, 0.0014440624509006739)
750,41.0,750,(5.0182080713057076e-14, 2.0887146092718467e-05)
760,31.0,760,(3.257172309645284e-11, 0.013788790442049503)
770,27.0,770,(9.514611321037592e-12, 0.004029697738587856)
780,13.0,780,(2.1674750882993976e-10, 0.09761274605989456)
