epoch,reward,tr,loss
1,8.0,1,(2.4711113155717612e-09, 1.0337982177734375)
10,9.0,10,(2.591050929368066e-09, 0.9913318753242493)
20,11.0,20,(2.5849864471183537e-09, 0.9665574431419373)
30,10.0,30,(1.6415673265157693e-09, 0.733575165271759)
40,10.0,40,(1.871260923991258e-09, 0.8768995404243469)
50,8.0,50,(1.6524523971384042e-09, 0.8144926428794861)
60,9.0,60,(1.6804340141618468e-09, 0.6952649354934692)
70,9.0,70,(1.5948131704135449e-09, 0.6533023118972778)
80,9.0,80,(1.3014571642600004e-09, 0.4838874340057373)
90,56.0,90,(7.948450786443573e-10, 0.30195823311805725)
100,14.0,100,(5.820148807345049e-10, 0.2276640087366104)
110,11.0,110,(3.927969061123804e-12, 0.0015892955707386136)
120,43.0,120,(2.1894708268632712e-10, 0.08784367144107819)
130,45.0,130,(3.991829089500243e-11, 0.0158755611628294)
140,39.0,140,(1.035971308738226e-11, 0.004334372468292713)
150,10.0,150,(1.4389067715114834e-10, 0.05870168283581734)
160,10.0,160,(3.6062264285874335e-11, 0.014640839770436287)
170,16.0,170,(3.842615114990622e-11, 0.015396423637866974)
180,11.0,180,(2.09277040141842e-11, 0.008204172365367413)
190,15.0,190,(1.1036194180746861e-10, 0.04273192584514618)
200,10.0,200,(6.765787929907674e-11, 0.025842374190688133)
210,10.0,210,(1.9984014443252818e-11, 0.009358859620988369)
220,8.0,220,(8.208189683500677e-11, 0.02887992560863495)
230,9.0,230,(6.963318810448982e-11, 0.02427746169269085)
240,10.0,240,(5.374900524657278e-11, 0.0241722222417593)
250,9.0,250,(2.3309354446610087e-11, 0.00715566286817193)
260,10.0,260,(3.023403749580211e-11, 0.013913881033658981)
270,10.0,270,(1.684523631695356e-10, 0.051911476999521255)
280,9.0,280,(1.354694134647616e-11, 0.0064372350461781025)
290,11.0,290,(1.5475620784854982e-11, 0.007342493627220392)
300,10.0,300,(7.194245199571014e-12, 0.0030977712012827396)
310,9.0,310,(1.6914469824769185e-11, 0.007048730738461018)
320,9.0,320,(2.4482638139033952e-12, 0.0009965869830921292)
330,8.0,330,(1.7909229654833325e-11, 0.006848444230854511)
340,9.0,340,(3.189493114064135e-11, 0.012960600666701794)
350,10.0,350,(4.352074256530614e-12, 0.001774393953382969)
360,9.0,360,(3.4294789230671086e-11, 0.014739841222763062)
370,10.0,370,(9.066569717219863e-11, 0.03466472029685974)
380,9.0,380,(1.8696155734687636e-13, 7.788595394231379e-05)
390,10.0,390,(5.972111694063642e-12, 0.0025627061259001493)
400,10.0,400,(0.0, 3.4494917144911597e-08)
410,9.0,410,(4.046984969363621e-12, 0.0018630910199135542)
420,8.0,420,(1.594813170413545e-11, 0.00697510177269578)
430,10.0,430,(2.0591750526932628e-10, 0.07143967598676682)
440,9.0,440,(2.176481217475157e-12, 0.0009344975696876645)
450,9.0,450,(9.15045816896054e-12, 0.0032944849226623774)
460,10.0,460,(7.993605777301127e-11, 0.028088532388210297)
470,8.0,470,(4.4565240386873484e-11, 0.02179974876344204)
480,10.0,480,(1.9062529332813938e-11, 0.008921071887016296)
490,10.0,490,(2.3743229604633598e-11, 0.011213861405849457)
500,10.0,500,(6.568967592102126e-12, 0.003109619254246354)
510,9.0,510,(1.985123176950765e-11, 0.009616818279027939)
520,10.0,520,(6.045386413688902e-12, 0.0027338413055986166)
530,9.0,530,(3.916866830877552e-11, 0.017280152067542076)
540,10.0,540,(1.6427748050773516e-11, 0.00726689537987113)
550,9.0,550,(1.9323653788205775e-11, 0.008186344988644123)
560,9.0,560,(3.6421088367433185e-11, 0.016264168545603752)
570,10.0,570,(3.4141578453272814e-12, 0.0015133318956941366)
580,10.0,580,(7.993605777301127e-13, 0.0002958479744847864)
590,10.0,590,(2.589928271845565e-12, 0.0011229979572817683)
600,9.0,600,(7.114753231007853e-12, 0.003026423742994666)
610,9.0,610,(2.638333995719222e-12, 0.0012208705302327871)
620,9.0,620,(3.1391778065881226e-11, 0.014149360358715057)
630,10.0,630,(8.815170815523743e-13, 0.0003706143470481038)
640,9.0,640,(1.332844945522993e-11, 0.005954051855951548)
650,9.0,650,(1.4666046155298318e-11, 0.006682931911200285)
660,8.0,660,(7.73159314348959e-13, 0.00031349106575362384)
670,10.0,670,(6.956657472301231e-12, 0.0026223589666187763)
680,8.0,680,(8.881784197001252e-14, 3.526330692693591e-05)
690,9.0,690,(2.936761944738464e-12, 0.001121640088967979)
700,52.0,700,(1.7408297026122455e-11, 0.007036725524812937)
710,37.0,710,(1.2825296380469808e-12, 0.0005305146332830191)
720,24.0,720,(3.197442310920451e-14, 1.3847606169292703e-05)
730,114.0,730,(2.3888446776254568e-11, 0.012218703515827656)
740,74.0,740,(8.398304274237489e-11, 0.029324719682335854)
750,45.0,750,(6.37925268165418e-11, 0.027885276824235916)
760,44.0,760,(1.8389734179891093e-12, 0.0006579604232683778)
770,30.0,770,(7.993605777301127e-13, 0.0003381285350769758)
780,22.0,780,(9.383605004131823e-13, 0.0004082717641722411)
790,12.0,790,(9.672262990534364e-09, 4.144846439361572)
800,20.0,800,(2.1753709944505317e-11, 0.009948833845555782)
810,17.0,810,(5.7980731327234025e-11, 0.022169871255755424)
820,17.0,820,(1.2492229473082261e-12, 0.00043229764560237527)
830,17.0,830,(2.689048983484099e-11, 0.011559752747416496)
840,24.0,840,(1.985123176950765e-11, 0.007418688852339983)
850,11.0,850,(4.5364600964603596e-11, 0.01865975931286812)
860,10.0,860,(1.1542766742422828e-11, 0.005231490824371576)
870,15.0,870,(9.237632880854107e-11, 0.03383898735046387)
880,20.0,880,(1.4210854715202004e-10, 0.057932015508413315)
890,28.0,890,(1.8389734179891093e-12, 0.0007953022141009569)
900,12.0,900,(1.6914469824769185e-11, 0.007720194291323423)
910,17.0,910,(4.596900637920953e-11, 0.01838337630033493)
920,23.0,920,(8.645884008728899e-11, 0.040647394955158234)
930,36.0,930,(9.094947017729282e-13, 0.0003842033911496401)
940,29.0,940,(5.640288236463675e-11, 0.026809746399521828)
950,10.0,950,(8.480416369138766e-09, 3.994079828262329)
