epoch,reward,tr,loss
1,11.0,1,(3.1325022575856565e-09, 0.9996910095214844)
10,9.0,10,(1.944151950539208e-09, 0.978962779045105)
20,10.0,20,(1.7408297026122455e-09, 0.943773627281189)
30,10.0,30,(1.6524523971384042e-09, 0.901147723197937)
40,9.0,40,(1.4688659177863883e-09, 0.8369972109794617)
50,9.0,50,(1.3187162473116132e-09, 0.8394085168838501)
60,9.0,60,(2.1850898868081003e-09, 0.6628307700157166)
70,10.0,70,(1.036930985520712e-09, 0.5704882144927979)
80,8.0,80,(1.5475620784854982e-11, 0.004472741391509771)
90,8.0,90,(4.863665026277886e-12, 0.0013122737873345613)
100,10.0,100,(1.4069101439417864e-10, 0.03767319768667221)
110,8.0,110,(1.1102230246251565e-14, 7.3459559644106776e-06)
120,8.0,120,(3.643667589869892e-10, 0.08378291875123978)
130,9.0,130,(2.2595703086381036e-11, 0.019400136545300484)
140,9.0,140,(1.035971308738226e-11, 0.002076072385534644)
150,9.0,150,(1.7000312269033202e-10, 0.03876027092337608)
160,10.0,160,(9.997380701065595e-11, 0.09883759170770645)
170,9.0,170,(7.239586707896706e-11, 0.0644991397857666)
180,10.0,180,(6.190248313941993e-11, 0.054366372525691986)
190,10.0,190,(9.526290867256648e-11, 0.022044310346245766)
200,9.0,200,(6.568967592102126e-12, 0.004969529341906309)
210,9.0,210,(2.589928271845565e-10, 0.039707113057374954)
220,10.0,220,(2.0421042634666264e-10, 0.03991832956671715)
230,9.0,230,(2.837869050864583e-09, 4.2122063636779785)
240,10.0,240,(1.9323653788205775e-11, 0.003511678194627166)
250,9.0,250,(1.83067783154911e-10, 0.03688640147447586)
260,9.0,260,(2.8806335095055147e-10, 0.06196506693959236)
270,9.0,270,(1.5010215292932116e-11, 0.01410605851560831)
280,10.0,280,(3.6062264285874335e-11, 0.007072209846228361)
290,9.0,290,(2.877698079828406e-13, 0.00023410568246617913)
300,10.0,300,(3.6781688805831436e-11, 0.03691782057285309)
310,9.0,310,(2.8202551405343e-10, 0.06271368265151978)
320,10.0,320,(2.5660051861109423e-10, 0.06131229177117348)
330,9.0,330,(1.4033796347234784e-10, 0.03533735126256943)
340,9.0,340,(5.049436424542364e-10, 0.1190120205283165)
350,10.0,350,(1.7312595801399766e-10, 0.04533602297306061)
360,10.0,360,(2.2382451447811036e-10, 0.054649144411087036)
370,9.0,370,(9.303608550226272e-09, 2.082517623901367)
380,10.0,380,(1.1951328815484885e-11, 0.011130849830806255)
390,10.0,390,(3.348397115132684e-10, 0.07992418110370636)
400,8.0,400,(1.6044943151882762e-12, 0.0010475295130163431)
