epoch,reward,tr,loss
1,10.0,1,(6.355493908927201e-11, 0.027547335252165794)
10,9.0,10,(5.46265255252365e-11, 0.019811348989605904)
20,10.0,20,(1.2825296380469808e-12, 0.0004851999110542238)
30,9.0,30,(8.185452315956354e-12, 0.00335030653513968)
40,22.0,40,(3.552713678800501e-13, 0.00015137834998313338)
50,11.0,50,(2.0520474208751693e-11, 0.007709011901170015)
60,9.0,60,(5.440670136636072e-11, 0.02207157574594021)
70,11.0,70,(9.323741778644035e-11, 0.03945694491267204)
80,10.0,80,(1.2290968243178213e-10, 0.04639684408903122)
90,15.0,90,(1.1241230168934635e-11, 0.004331233911216259)
100,10.0,100,(3.991829089500243e-11, 0.017339186742901802)
110,10.0,110,(3.4996450182234184e-11, 0.015312166884541512)
120,10.0,120,(6.963318810448982e-11, 0.030319998040795326)
130,10.0,130,(1.5829559885105482e-11, 0.00677579315379262)
140,9.0,140,(2.2737367544323206e-11, 0.009707466699182987)
150,10.0,150,(5.981037887181628e-11, 0.02250782586634159)
160,11.0,160,(3.257172309645284e-11, 0.012440391816198826)
170,13.0,170,(2.689048983484099e-11, 0.0104582030326128)
180,9.0,180,(4.780531526193954e-11, 0.020159859210252762)
190,10.0,190,(1.6487408771581613e-08, 6.566287517547607)
200,10.0,200,(2.7356339415973707e-11, 0.01202231552451849)
210,10.0,210,(9.15045816896054e-12, 0.003818709868937731)
220,9.0,220,(6.439293542825908e-14, 2.9035914849373512e-05)
230,9.0,230,(2.6123547769429933e-11, 0.011111440137028694)
240,9.0,240,(4.298783551348606e-13, 0.00016799756849650294)
250,8.0,250,(3.695266315162371e-12, 0.0016127250855788589)
260,10.0,260,(1.0543983464117446e-08, 4.339420318603516)
270,13.0,270,(9.035359127551601e-09, 3.484743118286133)
280,11.0,280,(9.295009206766736e-11, 0.03735346347093582)
290,11.0,290,(1.5358825322664416e-11, 0.005988430231809616)
300,11.0,300,(5.2015280971318134e-11, 0.018173405900597572)
310,9.0,310,(3.023403749580211e-11, 0.013034097850322723)
320,10.0,320,(1.3656631381309126e-11, 0.0057810344733297825)
330,9.0,330,(1.9984014443252818e-11, 0.008578091859817505)
340,9.0,340,(1.0267342531733448e-12, 0.00044130661990493536)
350,10.0,350,(1.88031812342615e-11, 0.007564460393041372)
360,13.0,360,(3.072742060794553e-11, 0.012418435886502266)
370,12.0,370,(4.863309754910006e-11, 0.019469736143946648)
