epoch,reward,tr,loss
1,11.0,1,(2.8921047778851516e-09, 1.0169435739517212)
10,10.0,10,(2.1795210081165806e-09, 0.9571858644485474)
20,9.0,20,(2.3496782297627306e-09, 0.8972795009613037)
30,9.0,30,(1.8984316341175145e-09, 0.840512216091156)
40,10.0,40,(1.749544953355553e-09, 0.7399527430534363)
50,9.0,50,(1.4597425490592286e-09, 0.7330966591835022)
60,9.0,60,(1.2800431825610303e-09, 0.3896702826023102)
70,9.0,70,(1.0178262677129624e-09, 0.5704686045646667)
80,9.0,80,(3.029185791092459e-10, 0.19598489999771118)
90,8.0,90,(3.5700864486898354e-10, 0.23828262090682983)
100,9.0,100,(3.049969166113442e-10, 0.2131635546684265)
110,8.0,110,(7.290390513503553e-11, 0.06550709158182144)
120,9.0,120,(6.213740633143061e-11, 0.08486475050449371)
130,9.0,130,(3.615163723935666e-11, 0.09088332206010818)
140,10.0,140,(1.7214685232858074e-10, 0.3293703496456146)
150,10.0,150,(1.0252254600828792e-10, 0.2616855502128601)
160,10.0,160,(1.5500056793626982e-10, 0.33840301632881165)
170,8.0,170,(8.886226199322778e-10, 0.14101186394691467)
180,10.0,180,(5.212286158240431e-11, 0.22514113783836365)
190,10.0,190,(1.8835405457551246e-11, 0.14623963832855225)
200,10.0,200,(1.1568107582959897e-11, 0.13332928717136383)
210,9.0,210,(4.636402373137116e-12, 0.09738851338624954)
220,9.0,220,(1.920685832601521e-12, 0.08223791420459747)
230,9.0,230,(1.1431133817296768e-12, 0.0747133120894432)
240,8.0,240,(9.20215292854465e-13, 0.0736481100320816)
250,9.0,250,(8.026981856978921e-13, 0.06953907757997513)
260,8.0,260,(2.9558092085046894e-12, 0.08595296740531921)
270,10.0,270,(5.917738521432625e-12, 0.103879414498806)
280,8.0,280,(4.880124082617954e-12, 0.08577244728803635)
290,8.0,290,(4.290345856361455e-12, 0.07414456456899643)
300,10.0,300,(6.626504900353325e-12, 0.08006943017244339)
310,8.0,310,(3.157724082214486e-12, 0.05798838287591934)
320,9.0,320,(8.849657118226162e-13, 0.028776295483112335)
330,10.0,330,(1.5482060078397808e-12, 0.03319282829761505)
340,9.0,340,(4.1797321159720013e-10, 0.04567607119679451)
350,10.0,350,(1.2741196986354453e-12, 0.02482030540704727)
360,10.0,360,(3.619951560729362e-13, 0.012642885558307171)
370,10.0,370,(2.2037927038809357e-13, 0.020962951704859734)
380,8.0,380,(1.6948248360293405e-13, 0.005512706004083157)
390,8.0,390,(9.692940894368007e-14, 0.003545413026586175)
400,10.0,400,(6.340067360000035e-14, 0.0038707470521330833)
410,10.0,410,(1.6354279042118947e-13, 0.02973145991563797)
420,9.0,420,(1.7024055776193592e-13, 0.04452621936798096)
430,8.0,430,(1.8202800378119832e-13, 0.05934636667370796)
440,9.0,440,(1.2331975718371524e-13, 0.04026376083493233)
450,10.0,450,(9.19317139774778e-13, 0.6089146137237549)
460,10.0,460,(1.333377852574813e-13, 0.04193029925227165)
470,10.0,470,(8.138628659892788e-14, 0.006982112769037485)
480,9.0,480,(1.7721935030579061e-13, 0.0464942641556263)
490,10.0,490,(1.609823385706477e-14, 0.00016191034228540957)
500,10.0,500,(1.4210854715202004e-14, 0.00017805093375500292)
510,10.0,510,(1.4210854715202004e-14, 0.0001890908315544948)
520,9.0,520,(7.887379638304992e-11, 0.009915473870933056)
530,10.0,530,(5.946632075648495e-13, 0.21079809963703156)
540,10.0,540,(6.969538834944444e-11, 0.008607043884694576)
550,11.0,550,(6.901423876826129e-13, 0.00843691173940897)
560,9.0,560,(8.448797217397441e-14, 0.0012628956465050578)
570,10.0,570,(2.8380076066980564e-13, 0.010746554471552372)
580,10.0,580,(5.134781488891349e-15, 0.0001451946736779064)
590,9.0,590,(2.186653635938285e-13, 0.006668166257441044)
600,10.0,600,(5.115907697472721e-13, 0.005912987515330315)
610,9.0,610,(1.1273482147799996e-12, 0.007806364446878433)
620,9.0,620,(5.777600620149315e-13, 0.004866502713412046)
630,9.0,630,(6.571099220309407e-11, 0.009119110181927681)
640,9.0,640,(1.1753098494438063e-12, 0.06944367289543152)
650,11.0,650,(1.4299950112928173e-12, 0.0341271311044693)
660,10.0,660,(1.3860024239420454e-12, 0.033009257167577744)
670,10.0,670,(1.265765270375141e-12, 0.027092497795820236)
680,10.0,680,(4.2502112940212555e-13, 0.006737538613379002)
690,9.0,690,(1.7391643680753077e-12, 0.008022280409932137)
700,10.0,700,(1.4034329254286604e-12, 0.005959020461887121)
710,9.0,710,(5.340172748447003e-14, 0.000142837074236013)
720,9.0,720,(2.1166873809264075e-11, 0.336774080991745)
730,9.0,730,(1.4034329254286604e-12, 0.009605364874005318)
740,9.0,740,(8.127942763280771e-13, 0.00472805742174387)
750,10.0,750,(6.815668029958033e-10, 0.09759754687547684)
760,8.0,760,(3.282718541441909e-11, 0.005749426782131195)
770,9.0,770,(4.377298523650097e-11, 0.008142741397023201)
780,10.0,780,(2.1983526110602725e-12, 0.00455642631277442)
790,9.0,790,(1.1004885891452432e-10, 0.020777646452188492)
800,9.0,800,(2.566835632933362e-11, 0.005461595486849546)
810,9.0,810,(7.931877377131968e-12, 0.008315591141581535)
820,9.0,820,(8.530065542800003e-12, 0.008004778996109962)
830,10.0,830,(4.167777234442838e-12, 0.0030037492979317904)
840,10.0,840,(3.3595348725157237e-12, 0.002270554658025503)
850,9.0,850,(1.566746732351021e-12, 0.0012583244824782014)
860,10.0,860,(2.877698079828406e-13, 0.000221419773879461)
870,10.0,870,(9.331646566579366e-12, 0.007236805744469166)
880,8.0,880,(1.8207657603852567e-14, 1.5535704733338207e-05)
890,10.0,890,(6.87805368215777e-12, 0.004091989248991013)
900,10.0,900,(3.631303258089247e-09, 2.0492310523986816)
910,8.0,910,(6.87805368215777e-12, 0.003226444125175476)
920,8.0,920,(1.680877659282487e-12, 0.0007480327622033656)
930,9.0,930,(2.355893258254582e-12, 0.0010248894104734063)
940,9.0,940,(1.4370584722200874e-09, 0.6094883680343628)
950,16.0,950,(1.4100720591159188e-11, 0.0059515503235161304)
960,9.0,960,(1.879385536085465e-12, 0.000688968866597861)
970,9.0,970,(8.79341044424109e-12, 0.00421645725145936)
980,10.0,980,(1.035971308738226e-11, 0.004724812228232622)
990,8.0,990,(4.780531526193954e-11, 0.02711447887122631)
1000,11.0,1000,(1.6080514697591752e-10, 0.10140218585729599)
1010,10.0,1010,(1.7909229654833325e-11, 0.01144004613161087)
1020,10.0,1020,(1.205480160137995e-11, 0.007662693504244089)
1030,9.0,1030,(4.863665026277886e-12, 0.0031414490658789873)
1040,10.0,1040,(4.604316927725449e-12, 0.0028154959436506033)
1050,9.0,1050,(8.271161533457416e-12, 0.0022130294237285852)
1060,9.0,1060,(7.274625346553876e-12, 0.005107657518237829)
1070,10.0,1070,(4.0675018908586935e-11, 0.01010415330529213)
1080,9.0,1080,(1.9955237462454534e-10, 0.05109456926584244)
1090,8.0,1090,(2.7605162600252697e-10, 0.0789157971739769)
1100,10.0,1100,(3.810729509723387e-12, 0.0010919756023213267)
