epoch,reward,tr,loss
1,9.0,1,(3.034863471640392e-09, 0.9951072335243225)
10,9.0,10,(1.9088339797690423e-09, 0.9538389444351196)
20,9.0,20,(1.8200485563113489e-09, 0.8997920751571655)
30,10.0,30,(1.750791511767602e-09, 0.8296942710876465)
40,9.0,40,(2.2060362425690982e-09, 0.7595899105072021)
50,9.0,50,(1.886763190128704e-09, 0.647208034992218)
60,10.0,60,(8.486602531831977e-10, 0.4730054438114166)
70,10.0,70,(3.224145395108735e-10, 0.18972039222717285)
80,10.0,80,(6.699463206416567e-10, 0.21928176283836365)
90,9.0,90,(3.139093429638251e-10, 0.09809423983097076)
100,8.0,100,(8.264500195309665e-13, 0.0004277293919585645)
110,9.0,110,(1.0746958878371515e-11, 0.0032623501028865576)
120,10.0,120,(5.403677505455562e-12, 0.0017340917838737369)
130,8.0,130,(3.696243311424041e-11, 0.01915893703699112)
140,9.0,140,(1.1415091094590935e-10, 0.03183150663971901)
150,10.0,150,(2.6429081145806776e-11, 0.016294345259666443)
160,10.0,160,(4.7189363527877504e-11, 0.013418951071798801)
170,8.0,170,(1.1542766742422828e-11, 0.00854971818625927)
180,9.0,180,(2.2172486069393926e-11, 0.014109344221651554)
190,10.0,190,(2.2032597968291157e-11, 0.012500562705099583)
200,9.0,200,(8.127409856228951e-11, 0.02430146560072899)
210,9.0,210,(6.40546327090874e-09, 3.5406317710876465)
220,10.0,220,(2.751221472863108e-11, 0.01365050021559)
230,10.0,230,(2.7853275241795927e-12, 0.001508883317001164)
240,8.0,240,(6.864198098810448e-11, 0.023991668596863747)
250,10.0,250,(5.777600620149315e-13, 0.0002501299313735217)
260,9.0,260,(5.2230664238095414e-11, 0.01901571825146675)
270,13.0,270,(1.9454660105111543e-11, 0.007039325777441263)
280,12.0,280,(9.76628200533014e-09, 4.173880100250244)
290,10.0,290,(3.4644731528032935e-11, 0.012644118629395962)
300,19.0,300,(1.1241230168934635e-11, 0.004989651497453451)
310,47.0,310,(3.15591996979947e-11, 0.012878271751105785)
320,11.0,320,(1.7909229654833325e-11, 0.007215484976768494)
330,9.0,330,(2.2172486069393926e-11, 0.007051452994346619)
340,10.0,340,(5.374900524657278e-11, 0.016725797206163406)
350,8.0,350,(1.9586554600437012e-11, 0.011759578250348568)
360,8.0,360,(5.4847237862531983e-11, 0.017684344202280045)
370,10.0,370,(6.692468801361429e-11, 0.020587965846061707)
380,9.0,380,(1.113029668431409e-10, 0.031017346307635307)
390,10.0,390,(4.397060493488425e-11, 0.0256142970174551)
400,10.0,400,(1.5010215292932116e-11, 0.007667160127311945)
410,9.0,410,(9.514611321037592e-12, 0.004894251003861427)
420,9.0,420,(1.3167245072054357e-12, 0.0008259424357675016)
430,8.0,430,(6.4930283372177655e-12, 0.0036934318486601114)
440,10.0,440,(4.298783551348606e-11, 0.013808675110340118)
450,8.0,450,(6.87805368215777e-12, 0.0034962950740009546)
460,9.0,460,(1.8207657603852567e-14, 1.3171147656976245e-05)
470,10.0,470,(9.430520364617223e-09, 6.3038129806518555)
480,9.0,480,(2.106403940160817e-11, 0.013225330971181393)
490,10.0,490,(4.086553317961261e-11, 0.013842539861798286)
500,9.0,500,(7.51754214434186e-12, 0.0034540181513875723)
510,9.0,510,(5.730171892537328e-11, 0.01801062561571598)
520,10.0,520,(2.9258817590971375e-11, 0.009630945511162281)
530,9.0,530,(2.3165913631828516e-11, 0.01302669569849968)
540,9.0,540,(1.2472245458639009e-11, 0.0057342154905200005)
550,10.0,550,(4.167777234442838e-12, 0.001535411924123764)
560,10.0,560,(2.3165913631828516e-11, 0.008632144890725613)
570,9.0,570,(9.383605004131823e-13, 0.0004202770651318133)
580,10.0,580,(3.7690739418394514e-11, 0.014599672518670559)
590,17.0,590,(4.046984969363621e-12, 0.0015581598272547126)
600,11.0,600,(9.331646566579366e-12, 0.003710636403411627)
610,11.0,610,(1.4460654895742664e-10, 0.05681977421045303)
620,21.0,620,(2.9878322038712213e-12, 0.0011894524795934558)
630,11.0,630,(2.589928271845565e-12, 0.001085603260435164)
640,17.0,640,(2.0463630789890885e-12, 0.0008339786436408758)
650,11.0,650,(6.266986929404084e-12, 0.0028405748307704926)
660,9.0,660,(1.3167245072054357e-12, 0.00046719913370907307)
670,9.0,670,(2.0520474208751693e-11, 0.009583085775375366)
680,9.0,680,(3.824185412781844e-11, 0.013145226053893566)
690,19.0,690,(2.5082873555959395e-09, 0.8764651417732239)
700,25.0,700,(2.3309354446610087e-11, 0.009165112860500813)
710,38.0,710,(4.352074256530614e-12, 0.0016978854546323419)
